"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2006-02-04",15,0,0,0,4005,13,34975,0,2359,0,240,0,21,5,0,0,9,6,0,27,61,0,121,1077,26,0,32,0,62,0,0,88,0,487,9331,5847,7,0,0,0,0
"2006-05-06",31,0,0,0,4604,7,43113,0,3706,0,203,0,21,13,0,0,139,6,0,401,108,6,173,683,40,0,59,0,30,0,0,36,2,750,11397,14373,329,0,0,0,8
"2006-10-28",0,0,0,0,10370,3,21880,0,1208,0,0,0,0,0,0,0,0,0,0,137,0,0,126,2464,15,0,3,0,0,0,0,118,0,706,10404,2132,0,0,0,0,2
"2007-02-04",0,0,0,0,4821,4,9882,0,416,0,0,0,0,8,0,0,0,0,0,0,0,0,36,88,0,0,0,0,0,0,0,34,0,126,2378,705,0,0,0,0,4
"2007-05-06",0,0,0,0,2469,0,2150,0,149,0,0,0,0,0,0,0,11,0,0,10,0,0,71,28,0,0,5,0,0,0,0,4,0,13,630,562,5,0,0,0,0
"2007-08-19",0,0,0,0,1857,0,4961,0,508,0,6,0,0,10,0,0,2,0,0,22,0,0,27,66,4,0,3,0,0,0,0,88,0,32,794,475,0,0,0,0,0
"2007-10-28",22,0,5,0,4386,7,24657,0,3236,0,13,0,0,4,3,0,6,41,0,22,17,2,53,793,33,0,28,3,7,2,0,28,10,1160,6534,4791,4,0,0,0,0
"2008-02-04",7,0,3,0,4675,5,8895,2,582,0,6,0,9,8,0,0,5,2,0,0,10,0,12,235,5,0,44,0,13,0,2,3,2,308,2496,2096,0,0,0,0,2
"2008-05-06",0,0,0,0,4200,2,8771,0,226,0,3,0,0,10,0,0,0,0,0,0,2,0,63,102,9,0,0,0,2,0,0,137,0,100,1657,576,0,0,0,0,0
"2008-08-19",2,0,0,0,2433,6,6103,0,642,0,9,0,3,0,0,0,0,0,0,35,0,0,94,188,8,0,0,0,0,0,0,37,0,61,2155,1006,0,0,0,0,7
