"","Micrarchaeia","Methanobacteria","Methanococci","Methanomicrobia","Woesearchaeia","Nitrososphaeria","uncultured","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","c5LKS83","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Armatimonadia","Chthonomonadetes","Fimbriimonadia","metagenome","unculturedbacterium.","unculturedorganism.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","Endomicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIc.","Campylobacteria","Desulfurellia","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Oligosphaeria","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Brachyspirae","Leptospirae","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","unculturedFirmicutes.bacterium."
"2013/9/16",0,0,0,0,362,11,198,16,0,2,0,235,0,0,2,0,2,3,77,0,344,345,2,138,0,0,0,15,170,37,9917,461,0,18,1210,34,76,2,2015,139,28,0,0,0,106,0,6,546,3,22,11,3,73,2,0,0,0,0,0,117,0,92,4,68,405,14,27,26,14,13,6,23,69,31,2,0,16,0,0,11,1361,81,0,0,4,0,8,167,5,60,11,13,6,0,45,9,0,240,200,96,36,8,969,0,5359,2946,25206,0,249,2,95,2,40,6,12,367,34,0
"2013/10/3",0,2,3,0,313,24,128,18,0,0,0,203,0,0,2,0,0,10,57,0,143,256,6,128,0,0,3,17,121,20,7791,397,9,20,745,41,89,0,1545,152,17,3,3,0,106,0,2,313,13,65,12,5,116,2,0,0,0,0,0,89,0,59,3,59,334,10,24,15,15,10,0,14,35,79,2,0,7,0,3,38,1391,77,0,0,2,0,4,76,6,202,11,3,0,0,46,7,0,182,154,42,11,0,1169,0,3663,1738,23290,0,226,0,55,2,23,0,5,304,30,0
"2013/10/16",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,0,0,0,0,0,0,2,0,114,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48,11,349,0,2,0,0,0,0,0,0,2,0,0
"2013/10/31",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,10,0,241,0,0,0,143,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,29,0,99,29,358,0,5,0,0,0,0,0,0,0,0,0
"2013/11/14",0,52,0,0,14,0,45,128,0,550,0,281,90,2,0,4,7,268,14,0,35,144,2,43,0,0,38,62,6,0,9412,393,14,13,0,32,0,0,684,84,2,0,0,0,19,4,0,108,0,6,2,11,119,56,0,5,0,28,0,65,2,0,53,26,570,7,36,29,0,60,0,23,6,0,0,13,0,18,0,0,555,12,0,0,0,0,7,115,7,66,33,0,3,0,0,0,0,198,98,0,2,0,580,7,1628,3080,10487,0,741,0,47,21,0,3,0,1185,0,0
"2013/11/28",0,3,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,2,838,0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,21,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,51,26,202,0,6,0,0,0,0,0,0,8,0,0
"2013/12/18",0,4,8,0,210,12,247,53,0,0,0,289,0,0,0,0,0,28,111,0,435,731,10,472,0,0,6,22,158,24,11010,1140,11,56,1452,110,18,0,2581,458,45,0,6,0,418,0,0,402,7,30,27,12,809,3,0,0,0,0,0,131,0,110,0,106,728,36,16,19,38,51,0,25,113,436,2,0,14,0,8,63,1960,83,0,0,3,6,0,37,4,4,7,2,5,5,57,5,0,331,275,41,58,3,2048,0,7023,3509,24670,0,425,4,62,0,27,0,5,566,60,0
"2013/12/31",0,0,0,0,103,373,119,7,0,13,0,117,0,0,0,0,0,5,68,0,147,222,0,116,0,0,21,0,46,21,6499,391,88,18,979,28,2,0,532,124,7,2,0,0,123,0,0,97,0,10,67,3,27,0,0,0,0,0,0,119,0,47,0,45,282,11,14,18,10,17,0,19,44,113,10,0,16,0,0,117,633,48,0,0,0,2,2,91,0,11,7,0,0,0,43,5,0,286,150,25,26,8,772,0,2433,1581,8406,0,223,0,24,0,4,0,0,299,11,0
"2014/1/16",0,4,5,2,176,14,167,29,2,0,0,175,0,0,0,0,0,11,48,0,223,453,8,210,0,0,0,8,102,21,8924,711,10,31,1010,57,11,0,1703,316,24,0,0,0,291,0,0,227,9,14,14,11,526,0,0,0,0,0,0,59,0,42,7,85,414,15,19,15,13,24,0,16,70,275,0,0,2,0,0,28,1374,47,0,0,7,2,0,13,6,9,2,2,3,3,44,2,0,194,191,25,29,6,1394,0,4441,2176,22353,0,225,0,34,0,22,2,3,313,41,0
"2014/1/27",0,0,5,0,431,20,102,22,0,0,0,174,0,0,0,0,0,5,58,0,221,292,2,141,0,0,5,18,109,13,5414,301,4,17,568,46,81,0,1504,118,11,3,0,0,96,0,0,236,4,37,12,3,62,0,0,0,0,0,0,93,0,63,2,46,301,8,5,14,11,8,0,16,67,45,0,0,10,0,0,15,1063,58,0,0,5,0,0,108,5,167,8,5,0,0,41,12,2,163,112,39,23,0,762,0,3493,1504,17447,0,189,4,97,2,36,3,23,244,28,0
