"","Blastocatellia.Subgroup.4..","Acidimicrobiia","Actinobacteria","Fimbriimonadia","Bacteroidia","Ignavibacteria","Anaerolineae","Chloroflexia","OLB14","Melainabacteria","Clostridia","Nitrospira","ABY1","Microgenomatia","Parcubacteria","Saccharimonadia","OM190","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Leptospirae","uncultured"
"S01",178,0,10,0,834,37,11,0,0,0,0,78,20,0,109,0,0,0,0,16,10,130,94,0
"S02",65,0,0,0,320,47,0,0,0,0,0,64,0,0,40,0,0,0,0,11,10,149,10,0
"S03",79,0,0,0,343,27,0,0,0,0,0,72,0,0,16,0,0,0,0,0,0,39,22,0
"S04",154,0,0,0,418,10,0,0,0,0,0,75,0,0,26,0,0,0,15,0,0,129,0,0
"S05",111,0,0,0,563,0,0,0,0,12,0,52,0,0,35,0,0,0,13,0,0,43,58,0
"S06",231,0,0,0,704,0,0,0,0,52,0,65,0,0,0,0,0,0,0,0,10,52,11,0
"S07",145,0,0,0,668,0,10,0,0,17,0,85,0,0,0,0,0,0,10,0,0,30,39,0
"S08",231,0,0,0,412,0,29,0,0,0,0,91,0,0,0,0,0,0,48,0,0,87,75,0
"S09",42,0,0,0,401,0,13,0,0,38,0,82,0,0,0,56,0,0,104,0,37,20,212,0
"S10",113,0,0,0,264,11,31,0,0,16,0,122,0,0,0,30,0,0,76,0,0,25,89,0
"S11",54,0,0,0,649,14,55,0,0,0,0,78,0,0,0,0,11,0,18,11,0,32,32,0
"S12",34,10,26,0,194,291,135,0,0,17,0,113,0,0,0,0,0,0,47,58,13,209,0,0
"S13",149,76,175,30,577,418,217,0,0,0,20,35,0,0,15,84,0,0,208,55,0,194,0,0
"S14",48,10,10,0,372,38,21,0,0,33,0,36,0,0,0,13,0,0,33,0,0,26,69,0
"S15",279,13,41,0,448,45,50,0,0,17,10,44,0,0,10,0,0,0,142,27,0,44,0,0
"S16",293,12,55,0,469,0,88,0,0,0,0,32,0,0,0,10,0,0,98,12,0,62,14,0
"S17",329,51,53,73,833,29,130,0,10,11,0,46,0,26,0,89,0,0,99,16,0,37,10,0
"S18",382,44,32,37,846,32,82,0,0,13,0,37,0,10,0,44,0,0,76,11,0,58,12,0
"S19",536,28,94,72,516,95,184,13,11,0,16,23,0,134,55,30,0,0,163,53,17,103,0,36
"S20",430,59,50,44,361,158,111,12,12,0,28,40,0,13,0,66,0,39,108,29,0,74,0,33
"S21",586,38,26,10,463,322,54,0,13,0,14,107,0,0,0,42,0,12,83,10,11,98,0,89
"S22",296,28,11,0,642,681,25,0,11,0,0,67,0,10,0,22,0,0,12,33,11,52,0,0
"S23",463,50,28,0,681,471,48,0,0,0,0,99,0,0,0,28,0,0,60,33,0,104,0,0
"S24",285,17,20,0,581,187,15,0,25,0,0,68,0,0,11,13,0,0,0,28,0,34,0,0
