"","Micrarchaeia","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","uncultured","Acidimicrobiia","Actinobacteria","Coriobacteriia","KISTJJY010.","Thermoleophilia","Armatimonadia","Chthonomonadetes","Fimbriimonadia","Bacteroidia","Ignavibacteria","OC31","Calditrichia","Chlamydiae","Anaerolineae","Chloroflexia","Dehalococcoidia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIb","LineageIIc.","Campylobacteria","unculturedSyntrophaceae.bacterium.","Chitinivibrionia","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","Gemmatimonadetes","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedbacterium.","unculturedprokaryote.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","metagenome","Nitrospira","Omnitrophia","unculturedbeta.proteobacterium.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WS6.Dojkabacteria..","WWE3","BD711.","Brocadiae","OM190","Phycisphaerae","Pla4lineage.","Planctomycetacia","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Mollicutes","Verrucomicrobiae","bacteriumenrichment.culture.clone.Anammox_55."
"O8-1",0,81,0,70,21,2,0,0,0,0,3,13,73,8,0,0,9,6,0,2,1381,304,4,22,0,587,68,0,0,0,0,0,0,10,0,18,0,0,0,3,0,0,0,0,0,0,5,0,5,119,29,8,0,0,29,0,0,0,0,0,7,0,0,0,2,235,0,0,0,3,17,0,361,313,0,0,0,0,34,63,0,2,205,280,747,27,0,0,7,0
"O8-2",0,203,0,479,59,24,16,0,9,50,13,57,103,53,0,5,19,13,0,10,3066,553,9,41,23,1351,224,3,11,6,3,13,0,48,0,94,0,2,0,7,29,0,0,2,0,10,8,0,0,154,63,10,6,0,97,0,0,0,3,18,69,13,6,8,3,538,0,0,6,23,57,0,613,346,0,0,0,0,174,156,3,13,488,895,2329,59,0,0,55,9
"O8-3",0,256,0,817,83,109,27,7,28,88,40,113,225,166,3,22,49,15,3,14,3790,842,18,45,32,2940,361,10,12,14,2,26,0,134,9,243,10,5,0,4,37,0,4,2,0,6,39,0,2,411,151,13,13,3,116,0,0,2,0,28,119,33,6,22,15,860,18,3,2,20,81,0,951,839,12,8,6,0,334,188,2,60,977,1378,4088,92,0,0,119,24
"O8-4",5,125,5,846,58,94,39,7,36,121,27,64,137,82,0,12,17,17,0,12,2630,607,9,26,28,2355,199,0,12,11,9,25,0,128,0,293,0,0,0,4,9,0,0,3,0,14,12,3,7,237,73,4,28,7,85,3,0,0,2,34,115,44,5,18,13,595,9,0,2,21,62,0,1033,594,14,0,7,0,296,132,5,90,632,948,3043,69,0,0,201,20
"O8-5",0,213,0,836,67,46,20,6,37,117,33,56,165,83,0,6,15,18,0,22,2921,697,17,43,17,1842,218,0,7,7,6,11,0,85,0,227,8,12,0,10,7,0,0,8,0,6,18,0,5,245,64,8,20,0,114,6,0,0,7,16,79,21,0,7,9,614,0,0,9,14,44,0,961,568,14,0,9,0,259,158,0,71,681,1018,3362,59,0,0,183,12
"O8-6",0,47,0,162,29,16,7,0,4,9,10,8,36,16,0,2,0,0,0,0,1212,247,5,7,2,656,27,0,0,0,0,0,0,38,0,53,0,0,0,0,0,0,0,0,0,2,5,0,0,36,15,0,0,0,21,0,0,0,0,9,7,8,0,0,5,167,0,0,0,0,8,0,358,161,0,0,0,0,69,41,0,0,179,191,851,66,0,0,25,6
"O8-7",0,45,0,257,27,17,4,0,6,18,0,22,41,10,5,2,0,0,0,0,1295,256,6,20,5,770,42,0,0,8,0,8,0,48,0,39,0,0,0,0,15,0,0,0,0,5,8,0,0,59,22,8,0,0,39,0,0,0,0,7,0,8,0,2,5,314,5,0,0,0,12,0,202,291,0,0,0,13,58,28,0,0,322,279,1405,25,0,0,16,12
"O8-8",0,31,0,123,23,22,7,0,0,7,15,29,65,16,0,2,5,0,0,10,1098,297,0,13,0,634,64,0,0,0,0,0,0,25,0,33,0,0,0,0,0,0,0,0,0,0,13,0,0,178,40,6,0,0,25,0,0,0,0,0,3,6,0,2,0,208,0,0,0,0,16,0,226,278,0,0,0,0,40,21,0,0,240,251,1281,12,0,0,1,0
"O8-9",10,105,0,859,95,100,48,6,23,143,47,124,93,70,0,3,21,5,0,18,3805,913,23,28,42,2139,158,0,26,11,4,16,0,198,0,277,4,8,0,0,32,0,0,3,0,14,28,0,0,193,86,7,25,0,138,0,0,0,4,26,121,39,0,18,17,933,0,0,20,10,78,0,1025,441,4,0,7,0,313,119,0,31,899,1411,5796,96,0,0,226,32
"O8-10",0,270,7,1098,114,121,22,17,10,137,52,87,167,106,8,12,19,22,0,13,4472,1085,25,54,40,2774,268,0,13,20,3,21,0,137,2,217,0,10,0,2,39,0,0,18,0,19,39,0,6,373,129,15,32,5,154,6,0,0,2,25,151,36,0,19,20,880,10,0,5,17,97,0,791,817,16,3,2,31,355,157,2,50,1051,1655,6073,120,0,0,236,29
"O8-11",0,176,0,575,125,90,22,26,9,114,84,101,182,107,6,8,40,15,0,8,4026,1519,20,36,26,2694,221,0,14,15,0,25,0,162,6,173,3,9,0,4,39,0,5,5,5,11,31,0,14,255,137,11,21,3,146,0,6,5,5,25,115,31,0,22,25,828,8,0,0,15,45,0,611,628,3,26,4,39,241,103,0,37,1270,1818,6317,166,7,0,151,17
"O8-12",0,150,0,475,92,81,29,15,22,83,68,107,275,221,6,10,55,10,0,17,3186,826,21,25,24,2455,263,0,17,11,3,25,0,138,0,161,0,0,0,0,31,0,0,0,0,10,21,0,0,428,226,31,22,0,133,0,2,0,0,22,50,29,0,0,20,1212,0,0,0,8,35,0,804,545,0,0,2,18,170,89,0,34,1356,1155,5980,59,6,0,59,10
"O8-13",0,35,0,113,41,6,0,0,0,5,0,0,37,4,0,0,0,0,0,0,1496,348,5,23,0,439,40,0,0,0,0,0,0,44,0,25,0,0,0,0,19,0,0,0,0,0,7,0,0,26,40,4,0,0,53,0,0,0,0,0,11,0,0,0,0,259,0,0,0,0,28,0,252,145,0,0,0,0,13,44,0,0,265,322,1614,30,0,0,5,6
"O8-14",0,38,0,280,14,26,0,0,0,24,0,12,39,4,0,4,0,0,0,0,987,185,6,0,24,602,65,0,0,0,0,8,0,34,0,61,0,0,0,0,0,0,0,0,0,0,2,0,0,105,42,8,19,0,11,0,0,0,0,0,8,0,0,0,0,238,0,0,0,0,19,0,253,316,0,0,0,9,61,39,0,21,188,146,911,16,0,0,35,8
"O8-16",0,122,0,582,55,39,25,5,20,60,15,27,62,62,0,3,14,4,0,2,2303,481,14,20,13,1495,187,0,11,10,2,3,0,60,4,178,2,2,0,0,7,0,0,0,0,6,13,0,0,125,59,5,6,0,112,0,0,0,0,23,38,20,0,0,15,526,0,0,0,0,32,0,770,298,0,0,2,73,173,67,0,34,430,844,2983,53,0,0,71,7
"O8-17",0,141,0,205,55,12,0,0,0,7,16,16,124,29,0,2,0,0,0,0,2232,546,0,19,0,751,135,0,2,5,0,0,0,44,0,36,0,0,0,0,0,0,0,0,0,6,22,0,0,157,79,9,0,0,132,0,0,0,0,2,0,0,0,0,0,644,0,0,0,0,12,0,417,240,0,16,0,23,51,49,0,0,445,762,3079,24,0,0,8,2
"O8-18",0,148,0,734,55,37,8,5,0,54,26,25,90,32,0,5,3,11,0,0,2309,598,24,16,0,1501,182,0,7,12,0,0,0,63,2,180,0,0,0,0,10,0,0,0,0,8,5,0,0,86,32,0,0,0,109,0,0,0,0,18,52,21,0,9,15,602,0,0,0,0,10,0,826,375,0,0,3,48,262,105,0,56,440,847,2580,12,0,0,117,2
"O8-19",0,178,0,736,98,50,3,8,25,68,34,67,80,64,6,6,2,7,0,0,2647,637,16,28,37,1424,195,0,7,0,2,2,0,43,0,129,0,0,0,0,11,0,0,3,0,8,17,0,0,97,47,7,0,0,132,0,0,0,0,13,43,13,0,7,15,626,0,0,0,10,28,0,351,388,0,20,0,25,157,66,0,32,450,994,2958,54,0,0,93,14
"O8-20",0,37,0,239,23,21,0,2,0,14,0,10,35,7,0,5,7,0,0,0,952,181,6,8,11,502,55,0,2,0,0,0,0,16,0,42,0,0,0,0,0,0,0,0,0,5,2,0,0,29,24,4,0,0,42,0,0,0,0,1,18,0,0,0,0,165,0,0,0,0,9,0,102,166,0,0,0,15,44,32,0,0,181,226,790,14,0,0,14,5
"O8-21",0,26,0,26,3,0,0,0,0,0,0,0,44,0,0,2,0,0,0,0,879,176,0,0,0,211,44,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,117,31,2,0,0,37,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,256,146,0,0,0,0,4,24,0,0,136,213,544,0,0,0,0,0
"O8-22",0,163,0,329,52,12,0,3,0,20,13,17,51,21,0,3,4,0,0,0,2011,463,7,12,5,959,171,0,8,3,0,0,0,48,0,85,0,0,0,0,31,0,0,0,0,2,8,0,0,137,64,2,0,0,92,0,0,0,0,3,30,9,0,6,14,421,0,0,3,0,23,0,368,160,7,16,0,15,73,60,0,2,425,750,3196,23,0,0,33,7
"O8-23",0,147,0,979,66,54,14,10,11,79,37,65,100,62,2,12,14,6,0,15,2436,598,11,25,52,1819,186,0,10,15,1,2,2,30,0,206,0,0,0,0,30,0,0,0,0,10,12,0,0,240,62,11,33,0,97,0,0,0,3,16,80,21,0,9,14,463,0,3,0,6,26,0,616,526,9,0,2,32,267,103,0,68,514,874,2590,52,0,0,172,15
"O8-24",0,131,0,702,69,60,10,13,5,78,30,47,104,77,0,11,17,7,0,7,2769,653,13,19,20,1871,201,0,4,7,3,7,0,60,0,138,0,0,0,0,30,0,0,3,0,5,44,0,0,233,51,11,9,0,112,0,0,0,4,20,82,16,0,10,25,519,4,0,0,18,23,0,666,635,0,0,2,93,205,115,4,35,620,751,3280,61,0,0,95,17
