"","Micrarchaeia","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","uncultured","Acidimicrobiia","Actinobacteria","Coriobacteriia","KISTJJY010.","Thermoleophilia","Armatimonadia","Chthonomonadetes","Fimbriimonadia","Bacteroidia","Ignavibacteria","OC31","Calditrichia","Chlamydiae","Anaerolineae","Chloroflexia","Dehalococcoidia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIb","LineageIIc.","Campylobacteria","unculturedSyntrophaceae.bacterium.","Chitinivibrionia","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","Gemmatimonadetes","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedbacterium.","unculturedprokaryote.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","metagenome","Nitrospira","Omnitrophia","unculturedbeta.proteobacterium.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WS6.Dojkabacteria..","WWE3","BD711.","Brocadiae","OM190","Phycisphaerae","Pla4lineage.","Planctomycetacia","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Mollicutes","Verrucomicrobiae","bacteriumenrichment.culture.clone.Anammox_55."
"O3-1XH",0,37,0,791,81,47,6,7,10,98,19,117,74,151,0,10,21,0,0,9,2232,275,5,6,12,843,190,0,7,3,2,4,0,127,0,105,0,8,0,9,0,0,0,4,0,18,63,0,0,17,33,3,6,0,88,0,0,0,5,12,29,9,0,11,15,227,0,0,0,0,89,0,72,411,19,0,2,0,166,103,0,11,279,484,1440,61,0,0,85,9
"O3-14XH",0,47,0,37,27,0,0,0,0,0,8,0,75,17,0,0,14,2,0,2,549,287,2,0,0,165,40,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,33,39,6,0,0,49,0,0,0,0,0,3,0,0,0,2,63,0,0,0,11,10,0,212,642,4,0,0,0,11,28,0,0,91,94,386,8,0,0,3,0
"O3-28XH",0,251,3,490,112,32,21,3,21,74,9,31,247,367,0,6,70,2,0,4,3200,829,16,2,16,1099,256,4,9,14,14,18,0,57,0,79,0,3,8,9,25,0,0,3,0,5,50,0,0,98,117,17,6,4,182,0,0,0,3,23,24,9,3,17,2,394,0,0,0,17,70,0,725,990,9,0,14,0,130,96,4,9,587,992,2595,93,0,0,24,11
"O4-12XH",0,251,0,805,102,72,31,11,30,123,31,42,347,492,5,11,84,2,2,17,3425,1125,17,12,27,2241,317,5,19,7,16,39,0,109,6,129,2,4,0,0,19,0,4,2,0,5,33,0,3,161,164,23,36,0,165,0,0,10,5,27,56,11,2,39,5,478,2,10,2,8,67,0,937,1234,13,0,14,0,173,102,10,21,899,1021,2914,55,0,0,47,34
"O4-25XH",5,251,0,1345,106,111,53,19,46,194,45,77,296,435,0,7,68,6,0,15,3255,1235,24,9,29,2952,352,0,8,9,9,51,0,76,0,182,2,0,4,4,9,0,0,2,0,8,37,8,8,243,145,22,17,7,153,2,0,0,11,51,104,10,7,41,3,334,3,0,33,9,35,0,1193,1347,18,0,37,0,275,116,5,32,815,910,2732,69,0,0,95,42
"O5-17XH",0,261,0,1367,132,38,24,4,25,238,28,104,370,448,0,11,101,3,0,11,3656,1177,15,17,32,3068,558,0,28,15,8,26,0,52,0,215,4,5,2,27,10,0,0,6,0,11,33,0,8,223,233,45,19,0,246,3,0,0,9,50,49,9,0,39,7,429,0,15,61,8,40,17,1243,2104,2,12,15,0,347,142,0,38,1008,959,2532,35,0,0,103,28
"O5-31XH",0,58,0,218,24,6,7,0,6,27,0,24,58,46,0,6,0,0,0,0,1411,288,2,0,5,1000,102,0,0,0,0,0,0,23,0,46,0,0,0,0,0,0,0,0,0,2,13,0,0,76,24,0,0,0,11,0,0,0,0,11,5,4,0,0,0,111,0,0,0,0,15,0,298,434,0,0,0,0,41,30,0,0,202,223,605,43,0,0,16,8
"O6-14XH",0,25,0,131,23,6,4,0,7,13,0,17,40,44,0,2,7,0,0,0,483,152,0,7,2,610,41,0,0,0,0,3,0,23,0,19,0,0,0,4,15,0,0,0,0,2,13,0,0,33,36,10,0,0,20,0,0,0,0,7,0,2,0,5,3,90,2,0,0,0,9,0,91,230,0,0,0,0,14,9,0,0,123,76,375,9,0,0,3,12
"O6-27XH",0,23,0,126,33,20,10,0,0,20,14,26,110,39,0,2,11,0,0,7,900,225,0,2,0,780,88,0,0,0,0,0,0,27,0,33,0,0,0,0,10,0,0,0,0,0,10,0,0,164,55,9,0,0,23,0,0,0,0,1,3,9,0,13,0,143,0,0,0,0,9,0,183,416,0,0,0,0,24,20,0,0,196,228,615,7,0,0,3,0
"O7-11XH",0,110,0,711,93,38,72,8,16,133,25,146,168,138,0,6,47,6,0,9,2651,576,8,28,14,2725,320,0,14,13,10,35,0,65,0,203,8,10,0,76,19,0,0,2,0,16,20,0,0,237,125,28,14,0,106,0,0,0,3,43,56,47,0,17,14,383,0,0,8,17,79,0,701,553,2,0,9,0,243,64,0,13,560,894,2191,82,0,0,51,33
