"","Solibacterales","Blastocatellales","uncultured","Microtrichales","Propionibacteriales","Streptomycetales","Streptosporangiales","Coriobacteriales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Chlorobiales","Ignavibacteriales","OPB56","SJA28.","SJA28","Caldisericales","Anaerolineales","Ardenticatenales","SBR1031","Chloroflexales","Thermomicrobiales","Cloacimonadales","Obscuribacterales","Chloroplast","Nostocales","Campylobacterales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Fusobacteriales","Gemmatimonadales","CandidatusKomeilibacteria.","CandidatusPeregrinibacteria.","CandidatusPeribacteria.","CandidatusPeribacteria","JGI0000069.P22","CandidatusCurtissbacteria.","CandidatusRoizmanbacteria.","CandidatusNomurabacteria","CandidatusZambryskibacteria.","Saccharimonadales","Phycisphaerales","Tepidisphaerales","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","Acetobacterales","AlphaproteobacteriaIncertae.Sedis.","Azospirillales","Caulobacterales","Holosporales","Micavibrionales","Puniceispirillales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Betaproteobacteriales","Pseudomonadales","Leptospirales","Spirochaetales","Synergistales","Kosmotogales","Petrotogales","Thermotogales","Verrucomicrobiales"
"2006-02-04",15,0,45966,0,39,2,0,13,0,52,514,57,229,0,0,0,240,0,0,0,18,3,0,5,0,0,9,6,0,27,0,0,11,1071,26,0,32,0,5,0,23,0,0,0,0,0,88,0,0,0,19,0,140,17,0,0,129,0,0,0,2884,3617,1545,0,2005,0,7,0,0,0,0,0,0
"2006-05-06",31,0,63283,0,49,2,0,7,0,83,639,108,394,7,0,0,203,0,0,0,12,9,0,9,4,0,139,2,0,401,6,6,16,652,40,0,59,0,0,0,14,0,0,0,0,0,36,2,0,0,4,0,321,48,0,0,218,0,0,0,3551,3445,2291,0,3810,2,329,0,0,0,0,0,6
"2006-10-28",0,0,35437,0,317,24,0,3,0,50,440,53,187,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,12,1,2431,15,0,3,0,0,0,0,0,0,0,0,0,118,0,0,41,25,0,458,9,0,0,105,0,0,0,3799,2729,2293,0,865,9,0,0,0,0,0,0,2
"2007-02-04",0,0,16094,0,13,0,0,4,0,31,81,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,83,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,3,0,37,0,0,0,30,0,0,0,1023,481,368,0,195,0,0,0,0,0,0,0,4
"2007-05-06",0,0,5245,0,8,0,0,0,0,9,55,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,16,0,28,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,4,0,0,11,0,0,0,203,169,149,0,146,0,5,0,0,0,0,0,0
"2007-08-19",0,0,7775,0,2,0,0,0,0,28,24,6,19,12,0,0,4,2,0,0,0,0,0,10,0,0,2,0,0,22,0,0,2,66,4,0,3,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,16,0,0,0,53,0,0,0,334,174,100,0,109,0,0,0,0,0,0,0,0
"2007-10-28",22,0,35538,0,153,0,0,7,0,70,1655,67,176,0,0,0,13,0,0,0,0,0,0,4,0,0,6,9,0,22,2,4,5,760,33,0,28,3,2,0,5,0,0,2,0,0,28,10,0,159,41,0,443,9,0,0,192,2,0,0,2800,1392,755,0,1444,2,4,0,0,0,0,0,0
"2008-02-04",7,0,15699,0,62,0,0,5,2,0,180,9,16,0,0,0,6,0,0,0,0,3,6,8,0,0,5,2,0,0,0,2,0,225,5,0,44,0,0,0,13,0,0,0,0,0,3,2,0,18,20,2,42,0,0,0,23,0,0,0,899,679,591,0,847,0,0,0,0,0,0,0,2
"2008-05-06",0,0,13998,0,8,4,0,2,0,11,60,0,26,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,102,9,0,0,0,0,0,2,0,0,0,0,0,137,0,0,0,8,0,22,0,0,0,26,0,0,0,731,266,296,0,135,0,0,0,0,0,0,0,0
"2008-08-19",2,0,9732,0,23,2,0,6,0,49,46,21,79,4,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,35,0,0,4,186,8,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,47,7,0,0,29,0,0,0,542,496,923,0,495,0,0,0,0,0,0,0,4
"2008-10-28",2,0,35287,0,239,0,0,4,0,61,423,0,133,0,0,0,0,0,0,0,0,2,4,0,0,0,5,0,3,13,0,3,13,591,19,0,3,0,0,0,0,0,0,0,0,0,116,22,0,24,10,0,195,4,2,0,376,0,0,0,5132,1843,1496,0,912,0,0,0,3,0,0,0,47
"2009-02-04",158,0,25932,0,118,0,0,2,0,7,569,19,25,0,0,0,6,0,0,0,4,0,8,44,0,0,4,0,0,11,0,0,0,380,9,0,18,0,0,0,12,0,1,3,0,0,36,5,2,27,26,1,43,6,0,0,104,0,0,0,2048,1055,780,0,1208,0,0,3,2,0,0,0,0
"2009-05-06",2,0,65081,0,3,2,0,7,2,47,778,8,57,0,0,0,7,0,0,0,0,0,0,8,0,0,6,0,0,2,0,0,5,1032,22,0,8,0,0,0,0,0,0,6,0,0,740,2,0,27,21,0,122,2,2,0,194,0,2,0,5816,5610,1375,0,2632,0,0,0,0,0,0,0,0
"2009-08-19",13,0,44862,0,67,35,6,12,0,15,384,59,69,0,0,46,30,0,0,0,2,106,20,54,0,0,0,0,0,56,2,0,12,475,52,0,24,0,0,0,7,0,4,0,0,0,67,0,4,10,37,14,149,20,0,0,130,0,7,0,3802,6732,1326,0,2046,15,2,0,0,0,0,0,16
"2009-10-28",6,0,42467,0,84,0,0,43,0,2,820,48,84,2,0,0,24,0,0,0,2,2,9,4,0,0,0,0,0,48,0,0,15,608,59,0,41,0,0,0,0,0,6,0,0,0,149,0,0,11,22,2,122,5,0,0,231,0,0,0,2929,4422,1390,0,1752,3,0,0,0,0,0,0,2
"2010-02-04",4,0,13014,0,53,0,0,0,0,54,49,24,34,0,0,0,15,0,0,0,2,1,0,0,0,0,0,0,0,54,0,3,1,146,16,0,3,0,0,0,3,0,0,0,0,0,18,0,0,4,0,0,66,5,3,0,38,0,0,0,670,522,863,0,341,0,14,0,0,0,0,0,0
"2010-05-06",7,0,43363,0,13,2,2,4,4,96,753,29,227,0,0,0,39,0,0,0,2,4,11,2,0,0,4,6,0,63,0,2,24,574,56,0,4,0,0,0,3,0,0,0,0,0,338,0,0,43,22,0,151,30,0,0,142,0,0,0,2950,2303,1662,0,2284,2,4,0,0,0,0,0,0
"2010-08-19",0,0,17287,0,8,0,0,0,0,0,273,25,24,8,0,0,0,0,0,0,0,0,0,185,0,0,0,2,0,12,0,46,3,33,0,0,4,0,0,0,0,0,0,0,0,0,98,3,0,5,3,0,49,0,0,0,90,0,0,0,755,459,437,0,326,0,0,0,0,0,0,0,0
"2010-10-28",0,0,47378,0,219,4,2,12,0,48,556,24,383,0,0,0,0,0,0,0,0,1,2,0,0,0,18,2,0,82,0,10,19,693,44,0,0,0,0,0,0,0,0,0,0,0,97,9,0,5,6,0,335,4,0,0,642,0,0,0,6312,5143,1942,0,1768,9,0,0,0,0,0,0,41
"2011-02-04",0,0,18874,0,51,0,0,10,0,3,154,27,23,0,0,0,5,0,0,0,0,5,0,4,6,0,3,2,0,13,0,2,20,477,35,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,97,2,0,0,71,0,0,0,1876,2070,848,0,843,0,0,0,0,0,0,0,21
"2012-02-04",0,4,49665,0,0,0,1829,0,0,31,0,150,96,0,0,0,0,0,0,0,0,0,0,10,0,0,0,51068,0,0,0,0,0,1890,0,0,0,0,0,3,0,0,0,0,0,0,8,11,0,0,23,71,140,0,0,0,0,0,0,0,4154,8786,53,0,6,0,0,0,0,0,0,0,0
"2012-05-06",18,0,33800,0,40,0,0,13,0,8,1002,27,10,0,0,0,10,0,0,0,0,0,8,43,0,2,11,11,2,9,0,78,2,543,13,0,89,0,0,5,9,0,0,8,0,0,159,0,0,64,52,0,139,10,0,0,104,0,0,0,1787,976,820,0,2806,0,0,0,0,0,0,0,0
"2012-10-28",0,0,3531,0,0,0,0,0,0,13,5,2,12,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,13,0,0,0,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,76,87,81,0,63,0,13,0,0,0,0,0,0
"2013-02-04",12,0,49150,0,75,2,0,9,0,2,698,26,27,0,0,0,11,0,0,0,0,3,13,42,0,0,0,2,0,8,0,0,8,615,20,0,22,0,11,0,2,0,6,0,0,0,257,4,0,70,50,2,206,5,0,0,100,0,0,0,2180,2014,668,0,1061,0,0,0,0,0,0,0,0
"2013-05-06",41,0,47939,0,250,8,2,7,0,215,1727,358,2298,11,0,0,19,0,0,0,2,2,0,11,0,0,159,4,2,298,3,3,7,516,33,0,15,0,2,0,9,0,0,0,0,0,59,0,0,4,0,0,179,70,6,0,145,0,0,0,3439,4726,2015,0,4344,6,61,0,0,0,0,0,7
"2013-08-19",51,0,59411,0,70,10,0,12,0,30,1942,89,146,14,0,0,25,0,0,0,0,0,9,20,0,83,19,18,0,44,0,248,9,848,31,0,99,0,0,2,0,0,0,0,0,0,80,6,0,65,163,0,344,20,0,0,121,0,0,0,4000,4204,1944,0,12231,0,0,0,0,0,0,0,0
"2013-10-28",38,573,52895,0,0,0,0,1,0,375,633,54,1434,3,0,0,0,0,0,0,0,0,0,136,0,0,297,0,3,52,0,41,17,180,5,0,0,0,0,0,0,38,0,0,0,0,6,149,0,0,0,0,210,35,0,0,104,0,0,0,3957,1517,2319,0,1288,0,0,0,0,0,0,0,3
