"","unculturedarchaeon.","Methanobacteriales","Methanococcales","Methanomicrobiales","CandidatusAmesbacteria.bacterium.GW2011_GWC1_47_15.","CandidatusDiapherotrites.archaeon.ADurb.Bin253.","CandidatusPacearchaeota.archaeon.CG1_02_32_21.","CandidatusStaskawiczbacteria.bacterium.RIFOXYA2_FULL_32_7.","Euryarchaeotaarchaeon.SCGC.AAA286.E23.","metagenome","unculturedbacterium.","unculturedeuryarchaeote.","uncultured","Nitrosopumilales","Solibacterales","Aminicenantales","1124.","1124","Blastocatellales","DS100.","Pyrinomonadales","Acanthopleuribacterales","Holophagales","Subgroup7.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedAcidobacteriales.bacterium.","unculturedsludge.bacterium.H3.","Thermoanaerobaculales","Actinomarinales","IMCC26256","Microtrichales","Actinomycetales","Bifidobacteriales","Corynebacteriales","Frankiales","Kineosporiales","Micrococcales","PeM15","Propionibacteriales","Coriobacteriales","Gaiellales","Solirubrobacterales","Armatimonadales","Chthonomonadales","Fimbriimonadales","Bacteroidales","BacteroidetesVC2.1.Bac22.","Chitinophagales","Cytophagales","Flavobacteriales","SM1A07","Sphingobacteriales","Ignavibacteriales","Kryptoniales","OPB56","SJA28.","SJA28","Rhodothermales","Calditrichales","Chlamydiales","120.","Anaerolineales","Ardenticatenales","C10SB1A.","Caldilineales","RBG13.54.9.","RBG13.54.9","SBR1031","SJA15.","Chloroflexales","Thermomicrobiales","unculturedChloroflexi.bacterium.","unculturedChloroflexus.sp..","Cloacimonadales","Caenarcaniphilales","Gastranaerophilales","Obscuribacterales","Vampirovibrionales","Chloroplast","Nostocales","Dadabacteriales","Deinococcales","Babeliales","Elusimicrobiales","LineageIV.","MVP88.","Endomicrobiales","unculturedactinobacterium.","Campylobacterales","Desulfurellales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Selenomonadales","Fusobacteriales","unculturedGemmatimonadetes.bacterium.","Gemmatimonadales","Hydrogenedentiales","Kiritimatiellales","WCHB141.","WCHB141","Latescibacterales","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","SS1B.02.17.","Nitrospinales","Nitrospirales","Omnitrophales","unculturedOmnitrophica.bacterium.","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","CandidatusFalkowbacteria.","CandidatusKuenenbacteria.","CandidatusMagasanikbacteria.","CandidatusMagasanikbacteria","Absconditabacteriales.SR1..","Absconditabacteriales.SR1.","CandidatusPeregrinibacteria.","CandidatusPeregrinibacteria","CandidatusPeribacteria.","Gracilibacteriabacterium.canine.oral.taxon.291.","JGI0000069.P22.","JGI0000069.P22","groundwatermetagenome.","wastewatermetagenome.","CandidatusWoesebacteria.","CandidatusWoesebacteria","CandidatusCampbellbacteria.","CandidatusCampbellbacteria","CandidatusKaiserbacteria.","CandidatusKaiserbacteria","CandidatusLloydbacteria.","CandidatusMoranbacteria.","CandidatusMoranbacteria","CandidatusNomurabacteria.","CandidatusVogelbacteria.","unculturedParcubacteria.group.bacterium.","Saccharimonadales","Brocadiales","unculturedCrater.Lake.bacterium.CL500.15.","unculturedPlanctomyces.sp..","unculturedPlanctomycetaceae.bacterium.","unculturedPlanctomycetales.bacterium.","C86","CCM11a","Phycisphaerales","Pla1lineage.","S70.","S70","Tepidisphaerales","mle18.","mle18","unculturedrumen.bacterium.","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","unculturedAntarctic.bacterium.LB3.147.","Acetobacterales","Azospirillales","Caedibacterales","Caulobacterales","Dongiales","Elsterales","Holosporales","Kordiimonadales","Micavibrionales","Micropepsales","Paracaedibacterales","Parvibaculales","Puniceispirillales","Reyranellales","Rhizobiales","Rhodobacterales","Rhodospirillales","Rhodovibrionales","Rickettsiales","Sneathiellales","Sphingomonadales","Thalassobaculales","Tistrellales","Bdellovibrionales","Bradymonadales","Desulfarculales","Desulfobacterales","Desulfovibrionales","Desulfuromonadales","MBNT15","Myxococcales","NB1j.","NB1j","Oligoflexales","PB19","SAR324clade.Marine.group.B..","SAR324clade.Marine.group.B.","Sva0485","Syntrophobacterales","Acidiferrobacterales","Aeromonadales","Alteromonadales","Arenicellales","BD72BR169","Beggiatoales","Betaproteobacteriales","CCD24","CCM19a","CHABXI.27.","CHABXI.27","Cardiobacteriales","Cellvibrionales","Chromatiales","Competibacterales","Coxiellales","Diplorickettsiales","EC3","EPR3968O8a.Bc78.","EV818SWSAP88","Ectothiorhodospirales","Enterobacteriales","F9P41300M23.","Francisellales","Ga0077536","GammaproteobacteriaIncertae.Sedis.","HOC36","Immundisolibacterales","JG36GS.52.","JG36TzT.191.","JTB23","KI89Aclade.","KI89Aclade","Legionellales","MBAE14","Methylococcales","Nitrococcales","Nitrosococcales","OM182clade.","OM182clade","Oceanospirillales","PLTA13","Pasteurellales","Piscirickettsiales","Pseudomonadales","R7C24","RunSP154.","Steroidobacterales","Tenderiales","Thiohalorhabdales","Thiotrichales","Vibrionales","WD260","Xanthomonadales","eub62A3","Brachyspirales","Leptospirales","Brevinematales","Spirochaetales","unculturedSpirochaetales.bacterium.","Synergistales","Izimaplasmatales","MollicutesRF39.","MollicutesRF39","Kosmotogales","Petrotogales","Chthoniobacterales","LD1PB3.","Methylacidiphilales","Opitutales","Pedosphaerales","Verrucomicrobiales","hydrothermalvent.metagenome.","unculturedFirmicutes.bacterium."
"2013/9/16",16,0,3,0,0,0,0,4,263,34,573,102,1187,12,22,0,0,0,0,0,0,159,0,0,81,0,0,0,68,8,7,277,2,45,122,0,0,43,200,44,4,18,157,0,0,0,121,0,4428,646,1714,2,325,13,0,138,194,0,16,735,34,280,33,1050,0,424,0,0,307,0,0,164,20,0,4,0,0,179,98,6,0,6,3,54,0,0,5,0,0,143,0,5,4,57,450,18,17,16,4,6,14,0,31,11,29,2,0,7,0,0,14,1203,58,0,0,2,2,5,0,3,3,0,87,0,21,0,4,0,2,5,0,3,3,12,0,0,101,0,0,0,0,0,0,0,2,0,0,0,3,22,0,14,81,4,5,3,0,16,21,2,21,0,430,684,0,2,0,0,109,0,0,0,55,1390,8,0,2,21,0,1587,671,59,26,157,3,198,114,61,575,40,11,98,39,0,0,600,20,11,53,200,105,33,19,18,0,9,6,5,0,0,4738,0,76,4,0,0,1731,11394,1444,0,2,15,5,6,0,13,0,13,68,46,38,17,0,0,3,23,4,0,152,3,350,16,2,6,341,4,11,0,591,0,0,0,24,0,0,139,0,89,36,0,169,0,76,0,25,0,0,0,4,27,2,0,0,18,49,251,35,0
"2013/10/3",41,0,0,0,0,0,0,0,73,46,419,52,922,22,20,0,0,0,0,0,0,149,0,0,87,0,0,0,37,0,3,204,3,26,99,0,0,23,94,35,4,16,135,0,0,0,59,0,3639,567,1335,0,332,14,0,134,217,0,15,557,42,162,16,562,0,290,0,0,357,0,0,158,11,0,4,0,0,126,43,3,0,7,3,144,0,0,4,0,0,63,0,5,7,29,315,12,7,11,6,5,11,0,32,21,106,0,0,7,0,0,17,1104,47,0,0,0,0,7,0,0,0,0,23,0,6,0,0,0,5,4,0,0,0,3,0,0,16,0,0,0,0,0,0,0,12,0,0,5,0,9,3,9,78,3,3,3,0,6,13,0,23,0,340,503,0,4,2,0,134,0,2,8,49,725,0,30,0,18,0,1127,587,57,11,185,0,136,85,78,250,30,3,97,32,2,0,591,22,13,43,128,49,35,8,10,0,3,12,0,0,0,6247,0,44,0,0,0,1493,6228,803,9,0,31,5,4,3,12,3,13,45,24,125,23,0,0,11,23,0,0,151,0,878,20,7,2,285,9,19,0,485,0,0,0,21,0,0,73,0,120,7,0,169,0,50,0,16,4,0,0,2,13,0,0,0,12,53,227,23,0
"2013/10/16",7,2,0,0,0,0,2,6,138,48,483,136,971,7,17,2,0,0,0,0,0,178,2,0,74,0,0,0,58,0,23,200,4,37,71,0,0,30,140,21,0,6,86,0,0,0,68,0,4820,605,1795,0,342,11,0,137,102,0,7,808,41,232,22,917,0,418,0,0,223,0,0,111,13,0,4,2,0,221,128,3,0,14,6,57,0,0,2,0,0,89,0,2,0,38,311,10,2,23,3,3,27,0,50,10,23,0,0,0,0,2,27,1436,33,2,0,0,5,4,0,2,3,0,64,3,11,0,0,0,4,5,0,7,0,4,0,0,34,0,0,0,2,0,0,0,0,0,0,0,7,15,0,34,72,3,0,3,0,19,25,0,28,0,357,480,0,4,0,0,126,0,0,8,53,1007,6,7,14,16,0,1330,484,51,13,268,0,159,55,107,550,40,9,88,30,0,0,720,17,15,84,244,140,33,7,14,0,7,17,3,0,0,4692,0,80,7,4,3,1534,10692,1236,15,6,3,0,4,0,7,0,12,59,27,23,29,0,0,2,27,0,0,143,6,186,7,8,5,372,8,9,0,347,0,0,0,19,0,0,151,0,56,12,0,322,0,63,0,22,2,0,0,3,21,2,2,0,26,55,225,41,0
"2013/10/31",0,39,0,0,0,0,0,0,0,117,418,6,837,0,136,0,200,3,365,41,0,0,375,7,9,0,5,5,16,0,4,27,14,29,48,29,12,4,45,49,0,2,74,0,0,37,1075,0,6247,588,331,22,1565,0,18,359,39,0,5,0,30,23,62,13,220,223,32,3,139,14,64,30,6,0,0,0,0,91,19,0,0,0,6,143,0,4,88,0,0,52,3,57,0,32,719,18,23,26,0,111,29,0,12,4,0,0,6,0,19,0,0,695,7,0,0,0,0,0,0,0,0,9,91,3,0,2,0,0,0,0,0,0,0,6,0,0,0,0,2,19,0,19,0,0,45,0,2,0,0,3,0,0,85,0,5,0,17,6,0,0,200,73,84,265,3,104,83,10,203,306,0,11,0,45,28,28,0,0,34,333,107,56,0,165,0,156,0,35,455,0,21,9,7,2,0,2530,17,0,247,13,76,12,0,8,0,16,0,0,0,0,8961,0,9,0,0,0,477,14,258,8,76,0,0,19,0,22,0,8,29,56,0,0,8,7,0,0,0,4,0,57,0,0,0,0,347,36,0,0,1591,26,38,17,0,0,0,0,10,120,0,0,712,3,35,8,0,0,0,6,0,0,2,0,0,113,695,299,0,0
"2013/11/14",27,2,0,0,0,0,0,2,1,49,1467,45,1066,761,31,0,0,0,12,0,0,111,0,0,36,0,0,0,129,32,4,120,0,25,157,0,0,19,100,22,0,7,207,0,0,25,37,4,3921,1541,2063,0,251,2,0,290,369,0,28,877,121,17,0,144,4,189,0,0,190,0,0,213,12,0,0,0,0,115,33,5,0,90,3,71,0,0,0,0,0,92,0,4,55,19,301,15,3,6,16,81,27,0,35,2,381,13,0,24,0,3,172,553,26,0,0,0,11,43,0,0,7,0,20,0,5,4,2,0,0,0,0,6,0,0,4,0,32,4,0,0,0,0,0,0,10,0,0,15,5,11,0,25,118,2,3,2,0,42,17,0,46,0,328,393,0,14,15,0,231,0,0,17,84,204,4,13,0,25,0,1245,1169,56,58,185,2,119,19,13,398,34,32,17,9,0,3,1176,31,15,97,185,101,43,12,29,0,5,13,0,0,0,5792,0,47,0,0,0,2030,999,0,48,13,8,18,0,3,17,0,5,54,101,10,9,0,0,13,10,13,2,198,0,100,43,35,8,233,11,18,2,190,0,0,2,13,2,0,106,0,732,34,0,334,0,28,0,9,0,0,0,13,0,0,0,24,23,53,95,12,0
"2013/11/28",24,0,2,0,0,0,0,0,11,41,688,134,1532,19,26,0,0,0,5,0,0,164,0,0,50,2,0,0,89,9,9,276,4,48,173,0,0,26,115,51,10,19,178,0,0,6,107,5,4562,1054,2084,0,372,28,0,282,508,0,33,1049,86,237,20,652,0,401,0,0,281,0,0,204,11,0,2,3,0,177,74,10,3,22,11,299,0,0,0,0,0,107,0,16,18,47,492,26,26,18,12,34,18,0,55,35,251,0,0,7,0,3,30,1456,42,0,0,2,4,18,0,0,2,0,12,0,18,0,2,0,7,2,0,0,2,5,0,0,4,0,0,0,0,0,0,0,12,0,0,3,2,9,3,10,109,5,2,5,0,6,28,0,38,0,532,698,0,7,7,0,188,0,0,12,59,702,7,13,0,34,0,1617,976,59,17,224,5,191,67,114,444,32,34,94,18,0,0,717,17,27,154,259,99,78,17,34,0,15,33,0,0,3,8129,0,79,2,0,0,2135,4343,427,4,0,44,2,7,35,25,0,4,75,96,175,9,0,0,15,17,2,0,232,0,334,37,22,21,271,15,24,0,935,0,0,0,31,0,0,99,0,369,61,0,230,0,44,0,35,4,0,0,0,8,2,0,0,26,60,317,43,0
"2013/12/18",0,2,0,0,0,0,0,0,15,36,841,30,1530,282,26,0,0,0,8,0,0,232,0,0,18,0,0,0,80,33,29,215,4,55,195,0,0,100,123,29,2,16,187,0,0,40,89,0,5152,1299,2987,0,207,14,0,205,665,7,13,1032,45,60,4,203,0,197,0,0,168,0,0,261,12,0,2,3,0,158,53,5,0,74,6,28,0,0,0,0,0,254,0,19,34,54,504,20,15,26,7,59,14,0,58,22,215,16,0,17,0,0,189,894,33,2,0,0,4,19,0,0,14,0,21,10,37,10,0,2,8,0,6,4,2,4,0,0,6,3,0,0,0,0,0,0,12,0,0,3,0,17,4,20,100,0,0,9,0,7,11,0,17,0,279,859,0,10,18,8,227,2,0,26,100,461,6,12,2,54,0,1439,1534,31,30,304,3,233,34,99,479,106,26,27,10,0,0,1195,29,9,65,598,62,24,20,17,0,12,37,7,4,3,6705,0,68,0,0,0,2058,1631,6,29,24,27,4,7,0,26,0,16,57,704,35,33,0,0,2,20,17,12,287,0,49,37,63,12,583,9,37,2,1064,0,0,0,15,0,15,411,0,1197,63,0,357,0,14,0,13,0,0,0,0,0,0,2,0,20,33,301,19,0
"2013/12/31",16,2,0,0,0,0,0,6,56,35,326,32,669,12,16,0,0,0,0,0,0,83,0,0,54,2,0,0,46,2,2,171,0,26,120,0,0,24,111,25,5,12,96,0,0,2,34,0,2825,413,1094,0,192,10,0,84,176,0,16,464,23,104,13,252,0,186,0,0,213,0,0,99,11,0,0,0,0,80,39,2,0,6,4,73,0,0,0,0,0,33,0,5,2,19,185,6,12,5,2,7,3,0,26,13,101,0,0,4,0,0,11,687,27,0,0,0,0,2,0,2,0,0,10,0,12,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,12,68,6,3,0,0,10,12,0,24,0,341,398,0,4,0,0,78,0,0,3,40,454,0,12,0,8,0,669,452,26,5,99,0,74,52,45,181,26,22,31,26,0,0,443,6,10,33,88,39,33,5,4,0,0,3,0,0,0,5904,0,38,2,0,0,1068,4303,658,2,0,24,0,2,4,11,0,2,43,16,75,2,0,0,10,9,0,0,96,0,649,19,8,3,162,6,13,0,326,0,0,0,15,0,0,29,0,135,10,0,109,0,34,0,18,0,0,0,3,3,0,2,0,12,30,146,15,0
"2014/1/16",0,4,0,2,0,0,0,0,26,10,463,10,891,56,10,0,0,0,2,0,0,80,0,0,12,0,0,0,26,13,194,238,0,34,134,0,0,539,104,37,3,4,145,0,0,10,72,0,3388,695,3052,3,165,32,0,68,308,0,15,867,20,42,2,222,0,117,0,0,211,0,0,80,40,0,0,6,0,31,18,0,0,27,3,13,0,0,3,0,0,193,0,21,4,19,225,10,0,24,6,33,6,0,69,15,96,12,0,5,0,0,112,470,24,0,0,0,0,73,0,0,11,0,24,15,0,2,0,3,0,9,0,13,0,3,0,0,7,5,0,0,0,0,0,0,8,0,0,5,2,29,0,24,77,0,0,5,0,0,5,0,10,0,324,280,0,3,9,0,177,0,0,2,113,169,2,26,0,105,0,1139,1589,32,25,126,0,163,32,158,445,21,14,12,5,0,0,1206,4,11,68,242,11,8,13,5,0,4,15,0,2,0,4222,0,51,0,0,3,1528,756,0,36,0,0,3,5,13,9,0,22,28,253,8,38,0,0,0,12,2,3,297,0,8,24,37,8,354,3,34,0,741,0,0,0,12,0,33,356,0,453,282,0,125,0,2,0,5,0,0,0,4,0,0,0,2,7,17,253,11,0
"2014/1/27",6,59,0,0,0,0,0,0,0,212,642,68,1091,0,218,12,306,8,485,72,2,0,1061,6,31,0,11,7,71,0,8,112,8,31,94,17,15,15,77,34,3,2,68,7,3,76,1371,0,6065,880,289,42,2624,11,4,288,95,0,6,0,31,34,162,29,358,351,95,3,311,67,33,78,2,2,0,2,5,183,47,0,0,0,4,269,0,3,150,2,2,94,2,77,4,91,681,17,27,56,0,175,56,0,14,13,0,0,5,0,26,0,0,1159,23,0,0,0,0,2,0,0,0,7,73,2,0,3,0,0,0,0,0,3,4,7,0,0,0,0,0,38,0,10,0,0,64,0,5,0,0,3,0,0,176,0,11,0,39,11,0,0,498,112,215,515,0,101,135,10,187,576,0,34,0,50,24,80,0,0,48,434,76,90,13,203,2,147,0,32,685,2,50,19,25,4,0,3056,33,0,418,33,172,57,0,12,0,45,0,0,0,0,9323,8,19,2,0,0,185,39,321,5,61,4,0,0,4,35,0,3,45,40,0,0,20,0,0,0,0,2,0,96,0,10,0,0,260,56,0,0,1922,39,164,54,0,0,8,0,15,171,3,0,794,8,127,16,4,0,4,21,0,0,6,0,0,149,951,263,0,2
