"","unculturedarchaeon.","Methanobacteriales","Methanococcales","Methanomicrobiales","CandidatusAmesbacteria.bacterium.GW2011_GWC1_47_15.","CandidatusDiapherotrites.archaeon.ADurb.Bin253.","CandidatusPacearchaeota.archaeon.CG1_02_32_21.","CandidatusStaskawiczbacteria.bacterium.RIFOXYA2_FULL_32_7.","Euryarchaeotaarchaeon.SCGC.AAA286.E23.","metagenome","unculturedbacterium.","unculturedeuryarchaeote.","uncultured","Nitrosopumilales","Solibacterales","Aminicenantales","1124.","1124","Blastocatellales","DS100.","Pyrinomonadales","Acanthopleuribacterales","Holophagales","Subgroup7.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedAcidobacteriales.bacterium.","unculturedsludge.bacterium.H3.","Thermoanaerobaculales","Actinomarinales","IMCC26256","Microtrichales","Actinomycetales","Bifidobacteriales","Corynebacteriales","Frankiales","Kineosporiales","Micrococcales","PeM15","Propionibacteriales","Coriobacteriales","Gaiellales","Solirubrobacterales","Armatimonadales","Chthonomonadales","Fimbriimonadales","Bacteroidales","BacteroidetesVC2.1.Bac22.","Chitinophagales","Cytophagales","Flavobacteriales","SM1A07","Sphingobacteriales","Ignavibacteriales","Kryptoniales","OPB56","SJA28.","SJA28","Rhodothermales","Calditrichales","Chlamydiales","120.","Anaerolineales","Ardenticatenales","C10SB1A.","Caldilineales","RBG13.54.9.","RBG13.54.9","SBR1031","SJA15.","Chloroflexales","Thermomicrobiales","unculturedChloroflexi.bacterium.","unculturedChloroflexus.sp..","Cloacimonadales","Caenarcaniphilales","Gastranaerophilales","Obscuribacterales","Vampirovibrionales","Chloroplast","Nostocales","Dadabacteriales","Deinococcales","Babeliales","Elusimicrobiales","LineageIV.","MVP88.","Endomicrobiales","unculturedactinobacterium.","Campylobacterales","Desulfurellales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Selenomonadales","Fusobacteriales","unculturedGemmatimonadetes.bacterium.","Gemmatimonadales","Hydrogenedentiales","Kiritimatiellales","WCHB141.","WCHB141","Latescibacterales","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","SS1B.02.17.","Nitrospinales","Nitrospirales","Omnitrophales","unculturedOmnitrophica.bacterium.","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","CandidatusFalkowbacteria.","CandidatusKuenenbacteria.","CandidatusMagasanikbacteria.","CandidatusMagasanikbacteria","Absconditabacteriales.SR1..","Absconditabacteriales.SR1.","CandidatusPeregrinibacteria.","CandidatusPeregrinibacteria","CandidatusPeribacteria.","Gracilibacteriabacterium.canine.oral.taxon.291.","JGI0000069.P22.","JGI0000069.P22","groundwatermetagenome.","wastewatermetagenome.","CandidatusWoesebacteria.","CandidatusWoesebacteria","CandidatusCampbellbacteria.","CandidatusCampbellbacteria","CandidatusKaiserbacteria.","CandidatusKaiserbacteria","CandidatusLloydbacteria.","CandidatusMoranbacteria.","CandidatusMoranbacteria","CandidatusNomurabacteria.","CandidatusVogelbacteria.","unculturedParcubacteria.group.bacterium.","Saccharimonadales","Brocadiales","unculturedCrater.Lake.bacterium.CL500.15.","unculturedPlanctomyces.sp..","unculturedPlanctomycetaceae.bacterium.","unculturedPlanctomycetales.bacterium.","C86","CCM11a","Phycisphaerales","Pla1lineage.","S70.","S70","Tepidisphaerales","mle18.","mle18","unculturedrumen.bacterium.","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","unculturedAntarctic.bacterium.LB3.147.","Acetobacterales","Azospirillales","Caedibacterales","Caulobacterales","Dongiales","Elsterales","Holosporales","Kordiimonadales","Micavibrionales","Micropepsales","Paracaedibacterales","Parvibaculales","Puniceispirillales","Reyranellales","Rhizobiales","Rhodobacterales","Rhodospirillales","Rhodovibrionales","Rickettsiales","Sneathiellales","Sphingomonadales","Thalassobaculales","Tistrellales","Bdellovibrionales","Bradymonadales","Desulfarculales","Desulfobacterales","Desulfovibrionales","Desulfuromonadales","MBNT15","Myxococcales","NB1j.","NB1j","Oligoflexales","PB19","SAR324clade.Marine.group.B..","SAR324clade.Marine.group.B.","Sva0485","Syntrophobacterales","Acidiferrobacterales","Aeromonadales","Alteromonadales","Arenicellales","BD72BR169","Beggiatoales","Betaproteobacteriales","CCD24","CCM19a","CHABXI.27.","CHABXI.27","Cardiobacteriales","Cellvibrionales","Chromatiales","Competibacterales","Coxiellales","Diplorickettsiales","EC3","EPR3968O8a.Bc78.","EV818SWSAP88","Ectothiorhodospirales","Enterobacteriales","F9P41300M23.","Francisellales","Ga0077536","GammaproteobacteriaIncertae.Sedis.","HOC36","Immundisolibacterales","JG36GS.52.","JG36TzT.191.","JTB23","KI89Aclade.","KI89Aclade","Legionellales","MBAE14","Methylococcales","Nitrococcales","Nitrosococcales","OM182clade.","OM182clade","Oceanospirillales","PLTA13","Pasteurellales","Piscirickettsiales","Pseudomonadales","R7C24","RunSP154.","Steroidobacterales","Tenderiales","Thiohalorhabdales","Thiotrichales","Vibrionales","WD260","Xanthomonadales","eub62A3","Brachyspirales","Leptospirales","Brevinematales","Spirochaetales","unculturedSpirochaetales.bacterium.","Synergistales","Izimaplasmatales","MollicutesRF39.","MollicutesRF39","Kosmotogales","Petrotogales","Chthoniobacterales","LD1PB3.","Methylacidiphilales","Opitutales","Pedosphaerales","Verrucomicrobiales","hydrothermalvent.metagenome.","unculturedFirmicutes.bacterium."
"2013/9/16",10,0,0,0,4,0,2,10,146,43,645,129,1543,11,16,0,0,0,2,0,0,235,0,0,128,2,0,0,77,0,17,322,4,40,70,0,0,31,175,25,2,15,123,0,0,0,155,0,6472,724,2201,3,352,27,0,228,206,0,18,1210,34,258,28,1158,0,353,0,0,218,0,0,139,28,0,6,3,0,302,241,3,0,11,3,73,0,0,2,0,0,117,0,4,3,65,405,14,27,26,6,13,23,2,50,14,31,2,0,16,0,0,11,1361,69,0,0,0,8,3,0,0,8,0,110,0,21,2,0,0,6,5,0,6,0,5,0,0,57,0,0,0,3,0,0,0,11,0,0,0,4,29,2,27,97,5,4,6,0,16,43,3,22,0,354,589,0,7,0,0,182,0,0,12,80,1642,5,18,9,26,0,1670,677,65,18,239,0,215,102,116,776,102,8,124,77,2,3,1054,16,17,91,279,163,49,23,40,0,7,24,2,0,0,5079,0,90,2,0,0,1985,14050,1491,3,0,8,3,0,0,17,0,19,54,21,26,19,0,0,8,29,0,0,182,0,271,24,7,10,389,9,21,0,383,0,0,0,26,0,4,140,0,91,14,0,249,0,95,0,40,6,0,0,0,12,0,0,0,30,48,289,34,0
"2013/10/3",33,2,3,0,0,0,0,5,113,43,502,103,1242,24,18,0,0,0,0,0,0,203,0,0,113,0,0,0,57,2,0,137,0,27,99,0,0,17,98,15,6,8,120,0,0,3,93,0,4431,797,2114,2,350,11,0,164,222,0,20,745,41,204,19,652,0,437,0,0,233,0,0,152,12,0,2,0,0,225,88,13,0,12,5,116,0,0,2,0,0,89,0,3,5,54,334,10,24,15,9,10,14,0,24,11,79,2,0,7,0,3,38,1391,63,0,0,0,6,3,0,2,2,0,41,0,10,0,0,0,11,11,0,2,4,2,0,0,202,0,0,0,0,0,0,0,11,0,0,4,12,8,0,9,101,5,3,3,0,15,18,0,51,0,406,708,0,4,2,0,122,0,0,15,38,1150,3,5,0,25,0,1037,595,52,15,189,2,125,43,75,470,29,13,113,26,0,0,559,18,10,54,162,72,41,16,10,0,11,15,3,0,0,8212,0,67,7,0,0,1666,9397,775,6,0,27,4,24,7,23,0,5,52,37,29,26,0,0,10,17,0,9,140,0,866,17,8,7,298,10,12,0,622,0,0,0,20,0,0,110,0,148,5,0,226,0,55,0,23,0,0,0,2,3,2,2,0,36,32,232,30,0
"2013/10/16",0,0,0,0,0,0,0,0,7,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12,31,0,5,0,0,0,0,0,0,19,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,14,12,0,0,2,0,0,0,2,2,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,34,178,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"2013/10/31",0,0,0,0,0,0,0,0,0,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,2,0,0,0,0,0,0,0,0,0,0,118,7,111,0,5,0,0,0,0,0,0,143,2,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,60,0,0,6,0,13,0,10,2,7,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,88,23,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,9,0,0,0,0,0,29,0,2,0,10,0,0,0,0,0,4,26,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013/11/14",0,52,0,0,0,0,0,0,0,126,347,10,681,0,128,0,220,2,283,45,0,0,274,7,4,0,0,7,14,0,6,29,5,19,24,11,8,4,40,33,2,0,43,0,0,38,1017,0,5815,646,304,15,1589,0,16,327,50,0,13,0,32,21,51,5,200,186,35,2,179,5,59,25,3,2,0,0,0,98,10,0,0,2,11,119,0,0,56,0,0,65,2,53,0,26,570,7,36,29,0,60,23,0,2,4,0,0,13,0,18,0,0,555,12,0,0,0,0,0,3,0,0,4,84,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,29,0,24,0,0,33,0,0,0,0,0,0,0,61,0,4,0,21,12,0,0,149,62,92,273,4,119,83,5,187,254,2,7,0,33,20,27,0,0,23,274,49,54,3,135,0,155,0,19,388,0,23,9,12,0,0,2266,13,0,247,15,59,16,0,4,0,24,0,0,0,0,7497,0,7,4,0,0,357,17,227,13,65,0,0,7,4,19,0,5,36,44,0,0,2,0,0,0,0,3,0,54,0,0,0,0,288,34,0,0,1511,20,28,15,0,0,5,0,7,95,2,0,741,0,47,6,0,0,0,3,0,0,4,0,0,101,707,362,0,0
"2013/11/28",0,3,0,0,0,0,0,0,0,0,2,0,48,0,11,0,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,744,5,6,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,8,0,7,0,0,7,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,161,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0
"2013/12/18",26,4,8,0,0,0,0,0,14,75,1062,86,2252,12,53,0,0,0,0,0,0,289,0,0,42,0,0,0,111,16,15,390,2,56,340,0,0,53,196,84,10,47,425,0,0,6,100,3,6121,1482,2835,0,464,50,0,331,759,0,56,1452,110,470,18,949,0,741,0,0,403,0,0,458,31,0,0,0,0,294,108,7,0,27,12,809,0,0,3,0,0,131,0,0,34,72,728,36,16,19,25,51,25,3,56,47,436,2,0,14,0,8,63,1960,49,0,0,0,5,8,0,0,0,0,17,0,11,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,7,0,0,10,7,51,6,37,141,4,8,6,0,6,67,0,63,0,897,1084,0,8,6,7,240,0,0,14,95,971,9,23,0,49,0,2517,1687,84,36,349,2,307,103,187,656,37,37,94,44,3,5,1310,32,38,247,337,215,83,16,77,0,21,16,3,2,7,11691,0,86,6,0,0,3033,5080,448,22,0,34,3,6,38,24,0,9,87,163,149,14,0,0,29,33,5,0,442,2,235,54,28,11,317,31,18,0,557,0,0,0,41,0,2,133,0,637,22,0,425,0,62,0,27,0,0,0,0,5,7,0,3,38,102,414,60,0
"2013/12/31",10,0,0,0,3,0,0,0,5,17,591,74,843,373,7,0,0,0,13,0,0,117,0,0,23,0,0,0,68,30,14,103,2,30,105,0,0,21,52,12,0,3,113,0,0,21,79,2,3343,761,2177,0,132,2,0,144,245,0,18,979,28,36,5,192,0,165,0,0,134,0,0,124,0,0,0,0,0,46,51,0,0,67,3,27,0,0,0,0,0,119,0,0,20,25,282,11,14,18,6,17,19,0,35,7,113,10,0,16,0,0,117,633,28,2,0,0,4,12,0,0,2,0,19,3,35,0,0,0,4,3,11,5,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,3,2,21,0,30,93,0,0,6,0,11,10,0,29,0,292,451,0,3,0,0,117,0,0,2,39,348,2,2,0,19,2,832,604,26,14,109,2,90,48,15,374,20,11,40,13,0,2,507,28,8,77,185,77,51,9,10,0,7,10,0,2,0,3630,0,36,0,0,0,1372,1373,3,35,2,0,2,15,7,21,0,6,28,240,17,11,0,0,3,12,11,0,136,0,34,17,22,4,254,6,13,9,285,0,0,0,5,0,0,129,0,364,13,0,223,0,24,0,4,0,0,0,0,0,2,0,9,3,17,268,11,0
"2014/1/16",14,4,5,2,0,0,0,3,13,29,687,84,1478,14,29,2,0,0,0,0,0,175,0,0,35,0,0,0,48,7,4,204,2,33,233,0,0,36,118,31,8,27,183,0,0,0,62,3,4691,1160,2667,2,336,24,0,190,497,0,31,1010,57,315,9,623,0,494,0,0,262,0,0,316,17,0,0,0,0,162,65,9,0,14,11,526,0,0,0,0,0,59,0,7,9,76,414,15,19,15,10,24,16,0,40,26,275,0,0,2,0,0,28,1374,30,4,0,0,7,9,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,6,0,0,9,0,0,0,0,0,0,0,2,0,0,2,0,22,0,28,97,4,0,8,0,3,51,0,34,0,659,699,0,9,8,2,182,0,0,5,55,604,13,3,0,28,0,1690,1090,42,18,202,0,123,43,83,427,26,25,58,11,2,3,827,12,27,153,208,123,47,11,54,0,17,7,3,3,4,11656,0,80,2,0,0,2406,4246,373,5,2,34,6,5,0,24,0,0,62,95,155,8,0,0,26,24,0,0,301,0,209,42,19,6,259,19,25,0,886,0,0,0,14,20,0,79,0,447,14,0,225,0,34,0,22,2,0,0,0,3,0,2,2,19,56,234,41,0
"2014/1/27",26,0,5,0,0,0,0,9,252,53,469,88,951,20,22,0,0,0,0,0,0,171,3,0,96,0,0,0,58,4,6,204,5,25,100,0,0,16,118,28,2,5,136,0,0,5,115,0,3172,486,1333,0,294,13,0,105,183,0,17,568,46,124,56,748,0,298,0,0,278,0,0,118,7,0,0,2,0,153,81,4,0,12,3,62,0,0,0,0,0,93,0,2,0,46,301,8,5,14,6,8,16,0,31,23,45,0,0,10,0,0,15,1063,48,0,0,0,5,4,0,0,0,0,47,0,30,0,0,0,11,6,0,7,0,5,0,0,167,0,0,0,0,0,0,0,8,2,0,3,3,9,0,9,59,0,7,3,0,16,18,5,33,0,337,392,0,4,0,0,106,0,0,8,34,1164,9,6,0,9,0,967,523,43,13,162,3,158,53,53,412,35,18,141,41,0,0,452,6,9,51,110,81,33,4,14,0,10,10,10,4,0,4320,0,70,2,0,0,1408,8458,1010,3,0,2,2,8,0,10,0,4,53,43,41,12,0,0,3,9,3,0,141,0,430,18,5,10,332,0,16,0,371,0,0,0,18,0,18,95,0,88,28,0,189,0,97,0,36,3,0,0,2,21,0,4,2,26,46,166,28,0
