"","Blastocatellales","Microtrichales","Corynebacteriales","Frankiales","Fimbriimonadales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","uncultured","SJA28.","Anaerolineales","RBG13.54.9.","SBR1031","Thermomicrobiales","unculturedChloroflexi.bacterium.","unculturedbacterium.","Obscuribacterales","Clostridiales","Nitrospirales","CandidatusKuenenbacteria.","CandidatusGottesmanbacteria","CandidatusRoizmanbacteria.","CandidatusWoesebacteria.","CandidatusMoranbacteria.","CandidatusMoranbacteria","CandidatusNomurabacteria.","Saccharimonadales","Phycisphaerales","mle18.","Gemmatales","Pirellulales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Desulfarculales","Myxococcales","Oligoflexales","Betaproteobacteriales","GammaproteobacteriaIncertae.Sedis.","Pseudomonadales","Xanthomonadales","Leptospirales"
"S01",178,0,10,0,0,440,35,275,84,0,37,0,11,0,0,0,94,0,0,78,20,0,0,0,0,0,15,0,0,0,0,0,16,0,0,0,0,10,0,120,0,0,10,94
"S02",65,0,0,0,0,153,11,104,52,0,47,0,0,0,0,0,26,0,0,64,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,10,0,149,0,0,0,10
"S03",79,0,0,0,0,82,26,170,30,35,27,0,0,0,0,0,16,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,22
"S04",154,0,0,0,0,203,83,77,55,0,10,0,0,0,0,0,16,0,0,75,0,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,129,0,0,0,0
"S05",111,0,0,0,0,225,184,59,79,16,0,0,0,0,0,0,13,12,0,52,0,0,0,0,0,0,22,0,0,0,13,0,0,0,0,0,0,0,0,21,0,0,22,58
"S06",231,0,0,0,0,320,231,107,46,0,0,0,0,0,0,0,0,52,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,0,0,26,11
"S07",145,0,0,0,0,439,159,38,32,0,0,0,10,0,0,0,0,17,0,85,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,39
"S08",231,0,0,0,0,351,34,27,0,0,0,0,29,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,32,0,0,55,75
"S09",42,0,0,0,0,96,146,123,36,0,0,0,13,0,0,0,0,38,0,82,0,0,0,0,0,0,0,56,0,0,104,0,0,0,0,0,0,25,12,0,0,10,10,212
"S10",113,0,0,0,0,70,72,92,30,0,11,0,31,0,0,0,0,16,0,122,0,0,0,0,0,0,0,30,0,0,76,0,0,0,0,0,0,0,0,13,0,0,12,89
"S11",54,0,0,0,0,194,296,116,43,0,14,0,55,0,0,0,11,0,0,78,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,22,0,0,10,32
"S12",34,10,16,10,0,180,0,14,0,0,291,0,135,0,0,0,0,17,0,113,0,0,0,0,0,0,0,0,0,0,47,0,41,17,0,0,0,13,0,170,0,0,39,0
"S13",149,76,149,26,30,362,0,215,0,0,418,12,205,0,0,0,0,0,20,35,0,0,0,0,0,15,0,84,0,0,208,0,35,0,0,20,0,0,0,183,0,0,11,0
"S14",48,10,10,0,0,75,79,174,44,0,38,10,11,0,0,0,0,33,0,36,0,0,0,0,0,0,0,13,0,0,33,0,0,0,0,0,0,0,0,26,0,0,0,69
"S15",279,13,30,11,0,266,0,171,11,0,45,14,36,0,0,0,10,17,10,44,0,0,0,0,0,0,0,0,0,0,126,16,27,0,0,0,0,0,0,27,0,0,17,0
"S16",293,12,45,10,0,366,0,91,12,0,0,39,49,0,0,0,0,0,0,32,0,0,0,0,0,0,0,10,0,0,69,29,12,0,0,0,0,0,0,62,0,0,0,14
"S17",329,51,43,10,73,624,0,209,0,10,29,20,98,12,0,0,0,11,0,46,0,26,0,0,0,0,0,89,0,0,63,36,16,0,0,0,0,0,0,27,10,0,0,10
"S18",382,44,32,0,37,711,0,122,13,0,32,16,36,30,0,0,0,13,0,37,0,0,10,0,0,0,0,44,0,0,44,32,11,0,0,0,0,0,0,58,0,0,0,12
"S19",536,28,73,21,72,416,0,100,0,36,95,39,121,24,13,0,66,0,16,23,0,15,119,0,0,0,0,30,0,0,102,61,53,0,0,0,17,0,0,91,12,0,0,0
"S20",430,59,37,13,44,298,0,63,0,33,158,18,82,11,12,0,12,0,28,40,0,0,13,0,0,0,0,66,11,28,80,28,29,0,0,0,0,0,0,74,0,0,0,0
"S21",586,38,15,11,10,355,0,108,0,89,322,18,36,0,0,0,13,0,14,107,0,0,0,0,0,0,0,42,0,12,47,36,10,0,0,0,11,0,0,86,12,0,0,0
"S22",296,28,11,0,0,422,0,203,17,0,681,0,25,0,0,0,11,0,0,67,0,0,0,10,0,0,0,22,0,0,12,0,23,0,10,0,11,0,0,52,0,0,0,0
"S23",463,50,16,12,0,417,0,242,22,20,471,0,48,0,0,0,0,0,0,99,0,0,0,0,0,0,0,28,0,0,16,24,33,0,0,0,0,0,0,64,15,0,25,0
"S24",285,17,10,10,0,317,0,253,11,0,187,0,15,0,0,10,26,0,0,68,0,0,0,0,0,0,0,13,0,0,0,0,28,0,0,0,0,0,0,22,0,0,12,0
