"","unculturedarchaeon.","Acidobacteriales","Solibacterales","Aminicenantales","1124.","1124","Blastocatellales","DS100.","DS100","Holophagales","Subgroup7.","Subgroup7","metagenome","unculturedAcidobacteria.bacterium.","unculturedAcidobacteriales.bacterium.","unculturedbacterium.","unculturedsoil.bacterium.","uncultured","unculturedAcidobacterium.sp..","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedsludge.bacterium.H3.","Thermoanaerobaculales","IMCC26256","Microtrichales","Actinomycetales","Bifidobacteriales","Corynebacteriales","Frankiales","Kineosporiales","Micrococcales","PeM15","Propionibacteriales","Coriobacteriales","Gaiellales","Solirubrobacterales","Armatimonadales","Chthonomonadales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Ignavibacteriales","Kryptoniales","OPB56","SJA28.","Calditrichales","Chlamydiales","120.","Anaerolineales","Ardenticatenales","C10SB1A.","Caldilineales","RBG13.54.9.","RBG13.54.9","SBR1031","SJA15.","SJA15","unculturedBellilinea.sp..","Chloroflexales","Thermomicrobiales","S085","unculturedChloroflexi.bacterium.","C0119","Obscuribacterales","Vampirovibrionales","Chloroplast","Synechococcales","unculturedDesulfuromonadaceae.bacterium.","Deinococcales","Thermales","Babeliales","LineageIV.","MVP88.","unculturedprokaryote.","Campylobacterales","unculturedSyntrophaceae.bacterium.","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Selenomonadales","Fusobacteriales","Gemmatimonadales","Hydrogenedentiales","WCHB141.","Latescibacterales","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedsoil.bacterium.PBS.III.30.","Nitrospirales","Omnitrophales","unculturedbeta.proteobacterium.","CandidatusBuchananbacteria.","CandidatusFalkowbacteria.","CandidatusFalkowbacteria","CandidatusKerfeldbacteria.","CandidatusKomeilibacteria.","Absconditabacteriales.SR1..","Absconditabacteriales.SR1.","CandidatusAbawacabacteria.","CandidatusPeregrinibacteria.","CandidatusPeregrinibacteria","CandidatusPeribacteria.","wastewatermetagenome.","CandidatusBeckwithbacteria","CandidatusCampbellbacteria.","CandidatusColwellbacteria.","CandidatusKaiserbacteria.","CandidatusKaiserbacteria","CandidatusLiptonbacteria.","CandidatusMoranbacteria.","CandidatusMoranbacteria","Saccharimonadales","CandidatusBerkelbacteria.bacterium.RIFCSPHIGHO2_12_FULL_50_11.","unculturedplanctomycete.","Brocadiales","planctomyceteA.2.","unculturedCrater.Lake.bacterium.CL500.15.","Phycisphaerales","Gemmatales","Isosphaerales","Acetobacterales","Azospirillales","Caedibacterales","Caulobacterales","Dongiales","Micavibrionales","Micropepsales","Paracaedibacterales","Reyranellales","Rhizobiales","Rhodobacterales","Rhodospirillales","Rickettsiales","Sphingomonadales","Bdellovibrionales","Desulfarculales","Desulfovibrionales","MBNT15","Myxococcales","NB1j.","NB1j","Oligoflexales","PB19","SAR324clade.Marine.group.B..","SAR324clade.Marine.group.B.","Acidithiobacillales","Aeromonadales","Alteromonadales","Arenicellales","Betaproteobacteriales","CCD24","CCM19a","Cellvibrionales","Chromatiales","Competibacterales","Coxiellales","Diplorickettsiales","Ga0077536","GammaproteobacteriaIncertae.Sedis.","HOC36","Immundisolibacterales","JG36GS.52.","Legionellales","Methylococcales","Oceanospirillales","PLTA13","Pseudomonadales","R7C24","RunSP154.","RunSP154","SZB7","Steroidobacterales","Thiotrichales","WD260","Xanthomonadales","eub62A3","Leptospirales","Spirochaetales","Mycoplasmatales","Methylacidiphilales","Opitutales","Pedosphaerales","Verrucomicrobiales","bacteriumenrichment.culture.clone.Anammox_55."
"O8-1",0,0,81,0,21,0,21,28,0,11,10,0,4,0,0,52,0,93,0,0,0,0,3,6,67,0,0,5,3,0,0,0,0,0,0,9,6,0,2,350,774,110,61,86,196,41,38,29,22,0,49,91,38,185,109,32,2,61,0,14,6,59,9,0,6,0,18,0,0,0,0,0,0,3,0,0,0,5,0,0,119,29,8,0,0,29,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,8,0,0,331,22,313,0,0,0,0,0,63,0,2,4,0,0,12,0,0,0,0,0,98,3,22,0,22,16,7,0,0,219,0,0,19,0,0,0,9,8,0,0,468,0,0,7,0,117,0,0,7,0,11,0,16,0,11,10,0,17,7,10,0,2,11,0,0,24,0,27,0,0,0,0,3,4,0
"O8-2",0,0,203,0,170,0,158,151,0,28,31,0,51,0,0,301,12,351,0,0,0,5,13,3,100,0,0,14,2,7,22,0,8,0,2,17,13,0,10,869,1351,119,141,579,340,102,74,37,41,23,99,290,47,369,232,69,12,197,0,26,10,203,21,3,24,0,88,6,0,0,2,0,0,7,0,29,23,8,0,0,154,63,10,6,0,97,0,0,0,3,18,6,538,0,0,0,0,0,0,6,9,0,0,25,10,4,0,0,0,0,61,6,0,543,0,346,0,0,0,5,0,156,5,8,7,5,0,35,0,9,0,0,2,160,23,53,3,82,154,3,0,0,621,0,0,47,18,4,0,23,17,0,0,1555,0,0,22,0,270,0,12,26,0,17,5,32,0,20,40,9,57,11,46,0,13,61,0,0,53,0,59,0,0,20,0,20,15,9
"O8-3",0,0,256,0,313,1,261,242,0,41,42,0,113,0,0,619,76,628,5,2,0,0,40,20,200,0,7,44,7,16,29,11,52,3,4,45,15,3,14,1002,1883,220,181,497,584,104,73,81,45,32,224,652,70,720,549,178,47,422,1,55,13,297,64,10,62,0,236,7,2,8,3,0,0,4,0,37,39,39,0,0,411,151,13,13,3,116,0,0,2,0,28,6,860,18,3,0,0,0,0,2,10,0,9,34,4,13,4,0,0,0,87,16,0,827,0,839,0,2,0,6,0,188,15,45,35,8,0,65,2,8,0,2,3,415,20,119,20,93,189,5,6,3,981,0,5,90,31,7,0,39,51,0,11,2331,0,0,46,2,1005,6,18,27,15,49,0,42,0,31,40,10,68,20,68,0,30,57,3,0,60,0,92,0,0,20,0,44,55,24
"O8-4",5,0,125,5,261,0,309,276,0,24,34,0,121,0,0,544,38,514,0,7,0,28,27,7,130,0,3,21,5,11,20,0,22,0,0,17,17,0,12,758,1247,173,138,314,450,49,50,58,26,28,180,621,45,514,418,178,39,306,0,29,6,155,44,0,58,0,281,12,0,0,0,0,0,4,0,9,58,12,3,0,237,73,4,28,7,85,3,0,0,2,34,5,595,9,0,0,0,0,0,2,0,0,0,32,5,9,4,0,7,0,88,16,0,852,50,594,0,0,0,5,0,132,22,68,24,5,0,38,0,0,0,0,0,267,11,95,19,62,128,9,0,0,686,0,3,59,22,3,0,31,21,0,0,1668,0,0,33,4,842,0,18,16,12,41,0,41,0,18,28,4,63,10,34,0,12,60,0,0,38,0,69,0,0,34,0,80,87,20
"O8-5",0,0,213,0,189,0,383,264,0,31,36,0,72,0,0,464,18,463,0,6,0,9,33,16,145,0,0,16,0,8,27,5,27,0,0,15,18,0,22,876,1458,152,156,279,491,83,55,68,43,17,161,325,51,458,387,120,22,263,0,47,2,185,33,0,39,0,201,26,0,8,12,0,0,10,0,7,27,18,0,0,245,64,8,20,0,114,6,0,0,7,16,0,614,0,0,0,0,0,0,9,0,0,0,14,6,10,3,0,0,0,84,26,6,780,50,568,0,0,0,0,0,158,14,57,25,2,0,47,0,13,4,0,8,262,16,91,16,79,125,8,0,3,730,0,6,51,37,9,0,36,26,0,5,1841,0,0,28,4,867,0,15,24,16,40,0,52,0,23,40,5,90,16,44,0,23,79,0,0,45,0,59,0,0,23,0,56,104,12
"O8-6",0,0,47,0,27,0,76,59,0,20,9,0,21,0,0,95,2,95,0,0,0,4,10,0,36,0,0,4,0,9,3,0,0,0,0,0,0,0,0,330,439,53,52,331,185,25,13,24,7,2,51,142,12,200,125,17,3,92,0,11,3,22,5,0,22,0,53,0,0,0,0,0,0,0,0,0,10,5,0,0,36,15,0,0,0,21,0,0,0,0,9,0,167,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,28,0,0,313,17,161,0,0,0,0,0,41,0,0,2,0,0,17,0,0,0,0,0,60,0,30,0,31,15,0,0,0,160,0,0,8,0,0,0,7,13,0,0,476,0,0,10,0,218,0,0,4,0,10,0,15,0,3,9,0,28,0,11,0,0,20,0,0,12,0,66,0,0,0,0,0,25,6
"O8-7",0,0,45,0,55,0,116,0,86,15,12,0,29,0,0,79,6,163,0,0,0,6,0,2,39,0,0,0,3,0,3,0,4,5,0,0,0,0,0,435,613,71,46,130,200,23,4,29,20,5,93,110,28,244,146,32,0,105,0,10,2,34,8,0,22,0,39,0,0,0,0,0,0,0,0,15,13,8,0,0,59,22,8,0,0,39,0,0,0,0,7,0,314,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,27,0,0,163,12,291,0,0,13,0,0,28,0,0,12,0,0,15,0,0,0,0,0,144,0,35,11,46,9,0,0,0,247,0,0,4,0,0,0,12,25,0,0,699,0,0,14,0,446,0,11,8,0,19,0,20,0,8,7,5,32,0,20,0,0,33,0,0,23,0,25,0,0,0,0,5,11,12
"O8-8",0,0,31,0,20,0,56,47,0,12,11,0,26,0,0,54,9,121,0,0,0,0,15,3,62,0,0,7,0,0,4,2,3,0,0,5,0,0,10,312,587,48,63,88,248,15,15,19,13,0,60,78,28,207,129,15,5,87,0,21,4,54,10,0,16,0,33,0,0,0,0,0,0,0,0,0,6,13,0,0,178,40,6,0,0,25,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,211,7,278,0,0,0,0,0,21,0,0,4,4,0,15,0,0,0,0,0,108,6,50,0,21,1,0,0,0,203,0,0,21,9,0,0,12,9,0,13,552,0,0,19,0,417,0,13,7,0,54,0,19,0,14,4,0,33,0,20,0,13,32,0,0,21,0,12,0,0,0,0,1,0,0
"O8-9",10,0,105,0,213,0,294,352,0,53,42,0,159,0,0,579,30,722,4,2,0,23,47,3,90,0,8,19,2,8,14,0,19,0,0,21,5,0,18,1272,1672,255,228,378,658,100,58,97,28,42,226,485,91,453,392,156,30,252,0,40,4,125,33,0,96,0,262,15,0,4,8,0,0,0,0,32,53,28,0,0,193,86,7,25,0,138,0,0,0,4,26,0,933,0,0,11,0,0,0,9,5,0,0,36,5,11,4,0,11,0,115,13,6,805,43,441,0,0,0,12,0,119,14,17,43,3,0,57,0,11,0,0,5,320,16,100,6,151,199,7,0,3,998,0,3,42,74,12,0,37,31,0,13,3490,0,0,56,8,1397,0,27,23,17,81,0,78,0,27,50,5,47,16,75,0,44,125,2,0,57,0,96,0,0,37,0,66,123,32
"O8-10",0,0,270,7,293,15,458,332,0,61,53,0,149,0,0,679,43,740,6,11,0,0,52,15,152,0,5,10,6,18,17,0,50,8,2,17,22,0,13,1452,2067,250,239,453,738,138,102,107,54,40,276,561,110,599,545,183,44,394,0,35,10,228,40,0,66,0,199,18,0,0,10,0,0,2,0,39,55,39,0,0,373,129,15,32,5,154,6,0,0,2,25,0,880,10,0,0,0,0,0,5,6,5,8,37,0,9,0,0,4,2,97,10,0,612,28,817,0,0,31,17,0,157,4,46,48,6,0,89,0,13,0,0,8,403,15,137,11,133,280,3,0,9,1114,0,8,73,56,17,0,27,29,0,16,3644,2,0,73,2,1408,0,11,48,21,92,8,79,0,30,57,18,80,19,75,0,35,109,2,0,92,2,120,0,0,46,0,92,98,29
"O8-11",0,0,176,0,153,0,230,192,0,71,54,0,135,0,0,500,32,846,14,12,0,9,84,13,169,0,3,14,12,8,22,0,48,6,0,40,15,0,8,1129,1767,192,278,641,1289,115,57,58,36,26,323,401,104,713,514,153,22,376,0,76,6,165,56,0,63,0,162,11,3,0,9,0,0,4,0,39,42,31,0,0,255,137,11,21,3,146,0,6,5,5,25,0,828,8,0,0,0,0,0,0,4,0,0,27,7,0,0,0,7,0,58,9,0,512,0,628,0,0,39,9,0,103,4,33,78,3,0,145,0,0,0,0,4,472,27,202,33,127,251,11,8,17,1202,0,6,139,58,8,7,17,60,0,44,3372,0,0,119,18,1591,0,42,29,34,149,0,147,0,41,39,12,62,16,100,0,76,89,17,0,58,4,166,7,0,33,3,57,58,17
"O8-12",0,0,150,0,151,0,164,160,0,39,53,0,128,0,0,309,11,678,9,6,0,7,68,22,249,0,7,34,9,18,66,7,80,6,9,46,10,0,17,1015,1575,166,179,251,613,74,57,82,25,24,263,248,91,677,583,102,19,422,0,42,5,182,81,0,75,0,144,17,0,0,0,0,0,0,0,31,39,21,0,0,428,226,31,22,0,133,0,2,0,0,22,0,1212,0,0,0,0,0,0,0,0,0,0,16,0,9,0,0,9,0,62,2,3,706,0,545,0,0,18,13,0,89,8,26,48,4,0,80,0,0,0,0,0,654,39,157,35,152,140,7,0,7,810,0,2,26,59,21,0,27,46,0,36,3119,0,0,82,12,1868,2,10,18,26,130,0,65,0,37,43,8,45,16,113,0,25,94,6,0,37,0,59,6,0,14,0,8,37,10
"O8-13",0,0,35,0,8,0,74,31,0,24,17,0,18,0,0,52,0,147,0,0,0,0,0,4,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,489,683,128,76,120,250,23,15,60,23,0,64,71,17,134,87,20,0,40,0,6,0,34,6,0,21,0,25,0,0,0,0,0,0,0,0,19,0,7,0,0,26,40,4,0,0,53,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,19,0,0,124,109,145,0,0,0,0,0,44,0,0,11,0,0,18,0,0,0,0,0,94,0,19,0,50,2,0,0,0,286,0,0,0,6,0,0,11,35,0,0,934,0,0,29,0,427,0,0,0,0,15,0,17,0,2,18,0,4,0,13,0,21,33,0,0,14,0,30,0,0,0,0,0,5,6
"O8-14",0,0,38,0,66,0,129,85,0,5,9,0,26,0,0,92,3,108,0,0,0,0,0,3,36,0,0,0,0,0,2,0,2,0,0,0,0,0,0,276,520,65,39,87,134,13,9,29,0,24,58,130,18,159,109,14,0,103,0,8,3,56,9,0,22,0,61,0,0,0,0,0,0,0,0,0,0,2,0,0,105,42,8,19,0,11,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,20,2,0,229,0,316,0,0,9,0,0,39,2,19,2,0,0,7,0,0,0,0,0,91,0,25,0,22,5,0,0,0,141,0,0,0,0,0,0,9,20,0,0,504,0,0,13,0,280,0,0,0,0,12,0,11,0,3,7,0,3,0,0,0,10,15,0,0,3,0,16,0,0,0,0,15,20,8
"O8-16",0,0,122,0,161,0,242,179,0,41,14,0,75,0,0,267,6,364,5,0,0,10,15,3,59,0,0,8,3,10,24,0,17,0,0,14,4,0,2,658,1105,134,119,281,364,37,41,39,20,13,147,304,65,380,269,83,3,223,0,5,13,154,33,0,32,0,161,17,2,0,0,0,0,0,0,7,26,13,0,0,125,59,5,6,0,112,0,0,0,0,23,0,526,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,33,0,61,8,0,617,29,298,0,0,73,0,0,67,12,22,26,6,0,31,0,0,0,0,0,155,7,58,0,68,92,4,0,5,639,2,5,5,26,0,0,18,40,0,0,1744,0,0,24,0,727,0,0,15,6,54,0,36,0,20,24,7,49,9,38,0,14,68,2,0,35,0,53,0,0,10,0,32,29,7
"O8-17",0,0,141,0,53,0,103,49,0,24,31,0,26,0,0,86,5,310,0,0,0,0,16,8,116,0,0,9,0,0,0,0,20,0,0,0,0,0,0,835,1057,150,86,104,455,47,21,23,19,0,66,66,49,262,128,12,14,127,0,19,8,121,14,0,16,0,36,0,0,0,0,0,0,0,0,0,6,22,0,0,157,79,9,0,0,132,0,0,0,0,2,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,340,10,240,0,0,23,0,0,49,0,0,17,0,0,24,0,0,0,0,0,174,0,70,0,59,83,8,0,2,579,0,0,6,9,0,0,12,54,0,0,1773,0,0,46,0,740,0,0,12,8,54,0,46,0,15,24,6,22,11,38,0,25,77,0,0,44,0,24,0,0,0,0,0,8,2
