"","unculturedarchaeon.","Acidobacteriales","Solibacterales","Aminicenantales","1124.","1124","Blastocatellales","DS100.","DS100","Holophagales","Subgroup7.","Subgroup7","metagenome","unculturedAcidobacteria.bacterium.","unculturedAcidobacteriales.bacterium.","unculturedbacterium.","unculturedsoil.bacterium.","uncultured","unculturedAcidobacterium.sp..","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedsludge.bacterium.H3.","Thermoanaerobaculales","IMCC26256","Microtrichales","Actinomycetales","Bifidobacteriales","Corynebacteriales","Frankiales","Kineosporiales","Micrococcales","PeM15","Propionibacteriales","Coriobacteriales","Gaiellales","Solirubrobacterales","Armatimonadales","Chthonomonadales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Ignavibacteriales","Kryptoniales","OPB56","SJA28.","Calditrichales","Chlamydiales","120.","Anaerolineales","Ardenticatenales","C10SB1A.","Caldilineales","RBG13.54.9.","RBG13.54.9","SBR1031","SJA15.","SJA15","unculturedBellilinea.sp..","Chloroflexales","Thermomicrobiales","S085","unculturedChloroflexi.bacterium.","C0119","Obscuribacterales","Vampirovibrionales","Chloroplast","Synechococcales","unculturedDesulfuromonadaceae.bacterium.","Deinococcales","Thermales","Babeliales","LineageIV.","MVP88.","unculturedprokaryote.","Campylobacterales","unculturedSyntrophaceae.bacterium.","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Selenomonadales","Fusobacteriales","Gemmatimonadales","Hydrogenedentiales","WCHB141.","Latescibacterales","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedsoil.bacterium.PBS.III.30.","Nitrospirales","Omnitrophales","unculturedbeta.proteobacterium.","CandidatusBuchananbacteria.","CandidatusFalkowbacteria.","CandidatusFalkowbacteria","CandidatusKerfeldbacteria.","CandidatusKomeilibacteria.","Absconditabacteriales.SR1..","Absconditabacteriales.SR1.","CandidatusAbawacabacteria.","CandidatusPeregrinibacteria.","CandidatusPeregrinibacteria","CandidatusPeribacteria.","wastewatermetagenome.","CandidatusBeckwithbacteria","CandidatusCampbellbacteria.","CandidatusColwellbacteria.","CandidatusKaiserbacteria.","CandidatusKaiserbacteria","CandidatusLiptonbacteria.","CandidatusMoranbacteria.","CandidatusMoranbacteria","Saccharimonadales","CandidatusBerkelbacteria.bacterium.RIFCSPHIGHO2_12_FULL_50_11.","unculturedplanctomycete.","Brocadiales","planctomyceteA.2.","unculturedCrater.Lake.bacterium.CL500.15.","Phycisphaerales","Gemmatales","Isosphaerales","Acetobacterales","Azospirillales","Caedibacterales","Caulobacterales","Dongiales","Micavibrionales","Micropepsales","Paracaedibacterales","Reyranellales","Rhizobiales","Rhodobacterales","Rhodospirillales","Rickettsiales","Sphingomonadales","Bdellovibrionales","Desulfarculales","Desulfovibrionales","MBNT15","Myxococcales","NB1j.","NB1j","Oligoflexales","PB19","SAR324clade.Marine.group.B..","SAR324clade.Marine.group.B.","Acidithiobacillales","Aeromonadales","Alteromonadales","Arenicellales","Betaproteobacteriales","CCD24","CCM19a","Cellvibrionales","Chromatiales","Competibacterales","Coxiellales","Diplorickettsiales","Ga0077536","GammaproteobacteriaIncertae.Sedis.","HOC36","Immundisolibacterales","JG36GS.52.","Legionellales","Methylococcales","Oceanospirillales","PLTA13","Pseudomonadales","R7C24","RunSP154.","RunSP154","SZB7","Steroidobacterales","Thiotrichales","WD260","Xanthomonadales","eub62A3","Leptospirales","Spirochaetales","Mycoplasmatales","Methylacidiphilales","Opitutales","Pedosphaerales","Verrucomicrobiales","bacteriumenrichment.culture.clone.Anammox_55."
"O3-1XH",0,0,37,0,81,0,653,57,0,43,38,0,93,0,0,285,32,292,0,7,0,10,19,8,66,0,6,36,5,4,69,0,31,0,4,17,0,0,9,142,1283,208,195,404,175,10,34,56,6,12,21,258,23,66,213,79,12,146,0,22,3,168,22,0,40,0,105,0,0,0,0,0,0,9,0,0,27,63,0,0,17,33,3,6,0,88,0,0,0,5,12,0,227,0,0,0,0,0,0,0,4,0,0,76,0,9,2,0,6,0,13,22,0,31,0,411,0,0,0,0,0,103,3,8,22,5,0,36,0,0,0,0,3,118,0,19,13,47,29,0,0,0,409,0,0,13,8,12,0,8,0,0,0,1043,0,0,3,3,52,0,2,6,8,2,0,19,0,12,30,5,51,14,0,0,0,73,6,0,68,0,61,0,0,2,0,29,54,9
"O3-14XH",0,0,47,0,7,0,24,6,0,22,5,0,2,0,0,33,0,16,0,0,0,0,8,8,67,0,0,2,3,0,5,2,5,0,0,14,2,0,2,57,365,26,45,56,244,24,19,0,0,0,6,15,10,45,42,22,6,17,0,0,2,33,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,33,39,6,0,0,49,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,48,0,0,164,0,642,0,0,0,0,0,28,0,0,7,0,0,4,0,0,0,0,0,42,2,18,0,12,6,0,0,0,88,0,0,0,0,0,0,0,2,0,0,233,0,0,0,0,29,0,0,5,2,0,0,6,0,8,6,0,2,7,0,0,6,23,0,0,47,0,8,0,0,0,0,3,0,0
"O3-28XH",0,0,251,3,102,0,234,154,0,42,67,3,79,0,0,236,24,271,0,3,0,11,9,12,220,0,5,95,20,15,185,2,45,0,3,67,2,0,4,380,1459,79,164,1115,565,167,78,19,2,16,33,86,48,412,210,74,24,192,0,11,0,209,47,4,23,0,79,0,0,0,0,8,0,9,0,25,14,50,0,0,98,117,17,6,4,182,0,0,0,3,23,3,394,0,0,0,0,0,0,0,17,0,0,44,0,7,0,0,0,0,121,14,0,588,0,990,0,0,0,0,0,96,6,3,13,18,0,28,0,0,4,0,4,333,10,69,12,63,199,7,0,2,708,0,0,37,12,10,0,31,19,0,0,1900,0,0,4,3,162,0,0,18,5,2,2,21,0,16,39,6,57,23,29,0,23,104,2,0,102,0,93,0,0,2,0,13,9,11
"O4-12XH",0,0,251,0,140,0,395,270,0,51,51,0,105,8,0,392,68,475,5,6,0,0,31,31,298,10,11,79,9,21,268,15,79,5,2,82,2,2,17,562,2008,104,232,513,900,139,49,37,12,27,109,204,75,893,344,206,37,302,9,23,3,221,96,5,41,0,129,0,2,0,0,0,0,0,0,19,16,33,0,0,161,164,23,36,0,165,0,0,10,5,27,2,478,2,10,0,0,0,0,2,0,0,0,30,0,2,2,0,0,0,36,10,0,880,0,1234,0,0,0,0,0,102,13,8,24,14,0,64,2,12,0,0,3,541,8,104,21,57,218,8,0,3,714,0,3,25,13,8,0,16,17,0,6,1809,0,10,18,5,424,4,6,23,7,0,0,47,0,41,34,14,60,18,34,0,27,115,3,0,122,0,55,0,0,2,0,20,25,34
"O4-25XH",5,0,251,0,197,0,692,456,0,54,52,0,104,0,0,539,73,579,0,19,0,19,45,15,264,20,10,85,10,15,225,5,65,0,5,63,6,0,15,484,1942,147,203,479,1007,130,48,50,9,29,175,315,69,964,613,347,67,346,0,28,2,255,97,0,37,0,182,0,2,0,0,4,0,4,0,9,18,37,8,0,243,145,22,17,7,153,2,0,0,11,51,7,334,3,0,0,15,0,0,18,0,0,0,24,0,6,7,0,0,0,42,8,0,1115,4,1347,0,3,0,3,0,116,11,21,22,9,0,89,3,0,4,0,0,438,4,77,30,65,139,5,0,6,699,0,5,23,16,6,0,24,17,0,0,1649,0,12,12,9,465,0,0,26,6,5,0,42,0,43,38,12,50,22,32,0,19,112,0,0,97,0,69,0,0,8,0,42,45,42
"O5-17XH",0,0,261,0,155,0,728,484,0,86,46,0,76,0,0,471,60,628,0,4,0,12,28,41,321,17,12,33,26,31,268,13,48,0,7,94,3,0,11,645,2270,236,212,293,916,144,97,20,17,32,191,229,95,1139,572,371,61,337,0,36,8,469,89,0,33,0,215,0,0,4,0,2,0,27,0,10,20,33,0,0,223,233,45,19,0,246,3,0,0,9,50,0,429,0,15,0,0,33,0,28,0,0,0,13,6,3,9,17,0,0,115,32,4,1055,5,2104,0,0,0,0,0,142,19,19,34,12,0,145,2,0,3,0,5,566,0,97,16,76,225,3,0,4,640,0,14,20,32,6,0,23,13,0,5,1415,0,0,18,2,394,0,4,23,10,5,0,57,0,56,17,2,49,36,69,0,12,108,3,0,158,0,35,0,0,2,0,35,66,28
"O5-31XH",0,0,58,0,37,0,130,51,0,24,0,0,6,0,0,58,8,89,0,0,0,6,0,0,58,0,0,6,0,5,30,0,5,0,0,0,0,0,0,183,592,45,48,538,226,39,15,8,0,5,83,96,27,418,169,97,0,82,0,23,5,74,28,0,11,0,46,0,0,0,0,0,0,0,0,0,6,13,0,0,76,24,0,0,0,11,0,0,0,0,11,0,111,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,0,269,22,434,0,0,0,0,0,30,0,0,8,0,0,19,0,0,0,0,0,121,0,23,0,21,36,0,0,0,179,0,0,0,0,0,0,4,6,0,0,330,0,0,7,0,138,0,0,6,0,0,0,12,0,15,3,0,13,0,17,0,0,17,0,0,29,0,43,0,0,0,0,7,9,8
"O6-14XH",0,0,25,0,31,0,68,0,32,18,5,0,9,0,0,26,9,52,0,0,0,7,0,3,37,0,0,9,4,0,29,0,2,0,0,7,0,0,0,98,272,36,27,50,117,19,4,12,7,2,42,51,18,281,94,66,0,47,0,9,2,35,6,0,9,0,19,0,0,0,0,0,0,4,0,15,4,13,0,0,33,36,10,0,0,20,0,0,0,0,7,0,90,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,65,24,230,0,0,0,0,0,9,0,0,7,0,0,5,0,0,0,0,0,78,0,11,0,13,9,0,0,0,61,0,0,2,0,0,0,2,9,0,0,195,0,0,4,0,75,0,0,7,3,4,0,5,0,18,4,0,7,0,9,0,0,15,0,0,16,0,9,0,0,0,0,0,3,12
"O6-27XH",0,0,23,0,29,0,58,39,0,27,6,0,14,0,0,55,24,84,0,0,0,0,14,6,104,0,0,6,0,0,18,12,3,0,0,11,0,0,7,178,570,34,47,71,206,13,6,0,2,0,72,73,26,375,115,44,7,56,0,12,0,79,9,0,6,0,33,0,0,0,0,0,0,0,0,10,9,10,0,0,164,55,9,0,0,23,0,0,0,0,1,0,143,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,150,22,416,0,0,0,0,0,20,0,0,11,4,0,16,0,0,0,0,0,109,3,24,0,15,30,0,0,0,175,0,0,15,2,0,0,8,5,0,5,282,0,0,9,0,144,0,6,3,0,9,0,19,0,36,0,0,9,0,32,0,3,18,0,0,19,0,7,0,0,0,0,3,0,0
"O7-11XH",0,0,110,0,211,0,297,203,0,52,41,0,67,0,0,403,37,573,5,3,0,16,25,3,165,0,5,38,6,8,52,0,29,0,8,39,6,0,9,615,1320,178,144,394,391,112,48,25,28,14,187,501,106,958,364,237,32,251,0,44,23,268,52,0,25,0,203,0,0,8,4,0,0,76,0,19,63,20,0,0,237,125,28,14,0,106,0,0,0,3,43,0,383,0,0,0,0,0,0,8,13,0,0,46,11,0,2,0,0,0,60,8,4,513,87,553,0,0,0,3,0,64,7,6,24,7,0,33,0,0,0,0,5,298,4,80,4,45,181,7,0,6,582,0,8,37,12,6,0,19,26,0,7,1204,0,0,22,0,405,0,4,19,12,27,0,47,0,72,15,1,34,18,76,0,6,56,5,0,87,0,82,0,0,7,0,33,11,33
