"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2006-02-04",0,0,3599,8,0,0,0,0,27,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,21,0,167,109,0,24,0,0,0,0,0,0,0,0,0,0
"2006-05-06",0,0,4233,9,0,0,0,0,44,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6,0,2,0,0,7,0,4,0,19,0,277,191,0,15,0,0,0,0,0,0,0,0,0,0
"2006-10-28",0,0,8077,20,0,0,0,0,131,0,0,3,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,208,0,0,0,69,2,626,318,0,309,0,0,0,0,0,0,0,0,2,0
"2007-02-04",2,0,37901,12,2,0,0,0,171,0,0,0,16,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,29,0,0,0,0,0,0,0,0,0,0,0,221,2,0,0,0,0,2,0,48,0,9,0,0,34,0,0,0,336,0,4143,1099,0,1319,0,0,0,0,0,0,0,0,6,0
"2007-05-06",0,0,3715,8,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,16,0,107,103,0,9,0,0,0,0,0,0,0,0,0,0
"2007-10-28",19,0,52189,27,0,0,0,0,568,10,0,0,97,1027,9,16,0,0,0,0,0,2,3,0,0,0,0,0,7,0,0,2,2,2,4,4,5,47,15,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,201,0,56,0,0,91,0,0,14,443,0,1979,2163,0,2195,27,33,98,0,0,0,0,0,2,0
"2008-02-04",48,0,35786,92,0,0,10,0,364,2,0,0,0,21,0,7,0,0,0,0,0,4,0,0,2,10,0,5,0,0,0,0,0,0,0,2,6,9,27,0,0,0,0,0,0,0,0,0,0,509,8,0,0,2,0,33,0,49,3,9,0,0,67,0,22,0,102,0,1058,501,0,864,2,0,19,2,0,0,0,0,3,0
"2008-05-06",0,0,103500,11,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,44,0,0,0,0,0,0,0,0,0,2548,0,10145,30,0,5,0,0,0,0,0,0,0,0,0,0
"2008-08-19",0,0,53633,4,3,0,2,0,579,0,0,0,54,253,0,0,0,0,0,0,0,0,15,0,4,0,0,84,0,13,0,0,0,2,0,0,3,29,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,77,3,0,73,0,6,0,0,155,0,37,0,539,0,1623,804,0,1315,0,0,4,0,0,0,0,0,0,0
"2008-10-28",3,0,31891,23,72,0,2,0,357,0,0,0,0,118,0,0,0,0,0,0,0,0,10,0,8,0,0,5,0,0,0,0,6,0,0,5,9,46,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,35,23,12,156,2,6,0,0,71,0,38,38,896,0,1491,961,0,775,0,2,0,0,0,0,0,0,0,0
