"","unculturedarchaeon.","Koribacteraceae","Solibacteraceae.Subgroup.3..","Solibacteraceae.Subgroup.3.","unculturedbacterium.","metagenome","unculturedAcidobacteriales.bacterium.","unculturedAcidobacterium.sp..","uncultured","Blastocatellaceae","unculturedAcidobacteria.bacterium.","Holophagaceae","freshwatersediment.metagenome.","unculturedbacterium.SJA.36.","unculturedsoil.bacterium.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedsludge.bacterium.H3.","Thermoanaerobaculaceae","Iamiaceae","Ilumatobacteraceae","Microtrichaceae","Actinomycetaceae","Bifidobacteriaceae","Corynebacteriaceae","Mycobacteriaceae","Nocardiaceae","Cryptosporangiaceae","Nakamurellaceae","Kineosporiaceae","Dermatophilaceae","Intrasporangiaceae","Microbacteriaceae","Nocardioidaceae","Propionibacteriaceae","Atopobiaceae","Coriobacteriaceae","Gaiellaceae","6714.","6714","Solirubrobacteraceae","Armatimonadaceae","Fimbriimonadaceae","Bacteroidaceae","BacteroidetesBD2.2.","BacteroidetesvadinHA17.","BacteroidetesvadinHA17","Muribaculaceae","Paludibacteraceae","Prevotellaceae","Prolixibacteraceae","Rikenellaceae","SB5","Tannerellaceae","3713.","3713","Chitinophagaceae","Saprospiraceae","Cyclobacteriaceae","Hymenobacteraceae","Microscillaceae","Crocinitomicaceae","NS9marine.group.","Weeksellaceae","AKYH767","KD393.","KD393","Lentimicrobiaceae","LiUU11.161.","NS1112.marine.group.","envOPS.17.","envOPS.17","LDRB.34.","PHOSHE36.","PHOSHE36","BSV26","MSB3C8.","CandidatusKapabacteria.sp..59.99.","unculturedBacteroidetes.Chlorobi.group.bacterium.","unculturedChlorobiales.bacterium.","unculturedsludge.bacterium.A12b.","Chlorobibacterium.OLB5.","Calditrichaceae","Chlamydiaceae","Parachlamydiaceae","Simkaniaceae","cvE6","unculturedChloroflexia.bacterium.","Anaerolineaceae","Caldilineaceae","hotsprings.metagenome.","unculturedAnaerolineaceae.bacterium.","unculturedCaldilineaceae.bacterium.","unculturedCaldilineae.bacterium.","unculturedanaerobic.ammonium.oxidizing.bacterium.","unculturedbacterium.SBR1108.","unculturedbacterium.UASB_TL14.","unculturedsludge.bacterium.A31.","A4b","unculturedGemmatimonadetes.bacterium.","unculturedsludge.bacterium.H5.","wastewatermetagenome.","unculturedBellilinea.sp..","Roseiflexaceae","JG30KF.CM45.","unculturedChloroflexi.bacterium.","unculturedcandidate.division.SAM.bacterium.","Melosiravarians.","uncultureddiatom.","Cyanobiaceae","unculturedDesulfuromonadaceae.bacterium.","Deinococcaceae","Thermaceae","Babeliaceae","Vermiphilaceae","groundwatermetagenome.","unculturedprokaryote.","Arcobacteraceae","Sulfurospirillaceae","unculturedSyntrophaceae.bacterium.","Bacillaceae","Carnobacteriaceae","Lactobacillaceae","Streptococcaceae","Christensenellaceae","Clostridiaceae1.","Eubacteriaceae","Lachnospiraceae","Peptostreptococcaceae","Ruminococcaceae","Erysipelotrichaceae","Veillonellaceae","Fusobacteriaceae","Leptotrichiaceae","Gemmatimonadaceae","Hydrogenedensaceae","Latescibacteraceae","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedsoil.bacterium.PBS.III.30.","Nitrospiraceae","Omnitrophaceae","unculturedbeta.proteobacterium.","unculturedParcubacteria.group.bacterium.","unculturedcandidate.division.SR1.bacterium.","CandidatusAbawacabacteria.bacterium.RBG_16_42_10.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","unculturedbacterium.GKS2.174.","CandidatusHarrisonbacteria.bacterium.RIFCSPHIGHO2_02_FULL_40_20.","Parcubacteriagroup.bacterium.CG1_02_50_68.","Parcubacteriagroup.bacterium.GW2011_GWA1_60_11.","Saccharimonadaceae","soilbacterium.WF55.","unculturedbacterium.SBR2060.","unculturedbacterium.SBR2096.","unculturedcandidate.division.WS5.bacterium.","unculturedgamma.proteobacterium.","CandidatusBerkelbacteria.bacterium.RIFCSPHIGHO2_12_FULL_50_11.","unculturedplanctomycete.","Brocadiaceae","planctomyceteA.2.","unculturedCrater.Lake.bacterium.CL500.15.","Phycisphaeraceae","Gemmataceae","Isosphaeraceae","Acetobacteraceae","AzospirillalesIncertae.Sedis.","Caedibacteraceae","Caulobacteraceae","Hyphomonadaceae","Dongiaceae","Micropepsaceae","Paracaedibacteraceae","Reyranellaceae","A0839","Beijerinckiaceae","Devosiaceae","Hyphomicrobiaceae","Labraceae","Pleomorphomonadaceae","Rhizobiaceae","RhizobialesIncertae.Sedis.","Xanthobacteraceae","Rhodobacteraceae","Rhodopirillaceae","Rhodospirillaceae","Terasakiellaceae","AB1","Midichloriaceae","Mitochondria","Rickettsiaceae","SM2D12","Sphingomonadaceae","unculturedBradyrhizobiaceae.bacterium.","unculturedactinobacterium.","Bacteriovoracaceae","Bdellovibrionaceae","Desulfarculaceae","Desulfomicrobiaceae","Desulfovibrionaceae","unculturedproteobacterium.","Archangiaceae","BIrii41","Blfdi19","Eel36e1D6.","Haliangiaceae","KD310.","KD310","Nannocystaceae","P3OB42.","P3OB42","Phaselicystidaceae","Polyangiaceae","Sandaracinaceae","Vulgatibacteraceae","bacteriap25","mle127.","mle127","unculturedDesulfuromonadales.bacterium.","03196G20.","03196G20","Oligoflexaceae","Acidithiobacillaceae","Aeromonadaceae","Marinobacteraceae","Arenicellaceae","A21b","Aquaspirillaceae","B17BS.","Burkholderiaceae","Chitinimonadaceae","Hydrogenophilaceae","Nitrosomonadaceae","Rhodocyclaceae","SCI.84.","SCI.84","TRA320.","TRA320","Cellvibrionaceae","Porticoccaceae","Spongiibacteraceae","Chromatiaceae","Competibacteraceae","Coxiellaceae","Diplorickettsiaceae","UnknownFamily.","Immundisolibacteraceae","Legionellaceae","Methylococcaceae","Methylomonaceae","Halomonadaceae","Saccharospirillaceae","Moraxellaceae","Pseudomonadaceae","unculturedHalochromatium.sp..","Steroidobacteraceae","Thiotrichaceae","Rhodanobacteraceae","Xanthomonadaceae","Leptospiraceae","Spirochaetaceae","Mycoplasmataceae","Methylacidiphilaceae","Opitutaceae","Puniceicoccaceae","Pedosphaeraceae","Verrucomicrobiaceae","bacteriumenrichment.culture.clone.Anammox_55."
"O8-1",0,0,81,0,665,291,0,0,503,21,28,11,10,0,0,0,0,0,3,6,23,30,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,0,350,0,0,0,0,0,0,0,0,0,5,3,94,452,0,0,110,7,52,2,50,3,0,0,0,0,33,0,8,135,47,41,0,0,0,7,0,6,22,0,0,0,0,37,91,109,0,0,13,2,8,0,0,0,7,0,0,61,6,59,9,6,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,119,0,8,0,0,21,0,8,0,0,0,29,0,0,0,0,0,235,0,0,8,0,0,0,6,0,0,0,7,0,0,0,13,0,0,0,0,0,0,63,0,2,4,0,0,0,12,0,0,0,0,51,0,0,0,0,0,0,0,47,3,22,0,0,0,0,0,0,0,22,0,5,0,16,7,0,0,0,9,25,0,0,96,0,0,17,0,0,0,37,4,0,0,10,0,0,19,0,0,9,8,0,0,9,0,18,68,26,28,50,254,15,0,0,0,0,0,7,0,117,0,0,0,0,0,0,11,10,0,17,0,2,11,0,19,5,27,0,0,0,0,0,3,4,0
"O8-2",0,0,195,8,1509,636,10,0,1035,158,151,28,22,9,12,0,0,5,13,27,30,33,0,0,0,3,11,2,0,7,0,22,0,2,6,0,0,0,3,3,11,13,3,0,838,14,4,0,2,11,0,0,0,0,28,12,175,736,0,5,112,18,115,8,194,5,2,0,0,0,378,0,10,220,99,102,0,0,0,19,2,17,41,0,9,14,0,69,290,232,0,0,52,0,8,5,0,0,86,3,2,58,10,203,21,24,0,0,0,0,2,0,0,0,7,0,23,5,3,0,0,0,5,149,0,32,4,0,27,0,10,6,0,0,97,0,0,3,18,6,538,0,0,21,0,0,3,4,0,26,0,15,0,7,0,10,0,0,0,0,5,0,156,5,8,7,5,0,6,29,0,0,0,2,20,0,0,25,4,0,0,9,99,23,53,0,0,0,0,0,3,0,82,0,5,0,154,3,0,0,0,33,30,9,2,271,11,0,20,2,0,11,127,20,0,0,30,4,0,31,0,16,23,17,0,0,17,3,38,215,58,74,129,984,30,0,5,0,0,0,22,0,270,0,12,0,5,0,0,20,40,0,57,0,13,61,0,44,9,59,0,0,20,0,0,20,15,9
"O8-3",0,0,236,20,2882,1277,8,7,1559,261,242,41,33,9,77,2,0,0,40,31,61,74,0,7,2,16,26,7,0,16,0,29,0,8,44,3,0,0,14,0,31,15,9,3,947,11,7,0,8,17,4,0,0,5,23,9,229,1215,0,6,212,22,148,11,216,4,2,6,0,7,262,0,16,416,138,101,3,0,0,10,3,21,45,0,12,20,0,98,652,549,0,0,57,2,25,0,8,5,166,0,11,160,13,297,64,62,0,2,0,8,3,0,0,0,4,0,39,20,19,0,0,2,0,409,0,83,8,0,60,0,13,13,0,3,116,0,2,0,28,6,860,18,3,20,0,9,0,13,0,53,0,31,0,0,0,39,22,0,2,0,6,0,188,15,45,35,8,0,9,56,2,0,2,3,80,0,2,58,0,4,0,27,240,20,114,5,0,20,0,0,0,0,93,0,10,0,189,5,6,0,3,40,46,20,8,394,5,6,75,9,12,22,196,32,0,9,62,4,0,53,0,37,39,51,0,11,14,5,74,270,80,113,271,1451,53,0,0,0,0,0,46,2,1005,6,18,15,0,0,4,27,40,0,68,0,30,57,3,54,6,92,0,0,20,0,0,44,55,24
"O8-4",5,0,118,7,2519,958,24,2,1218,309,276,24,24,10,41,7,0,28,27,23,51,35,0,3,0,5,16,5,0,11,0,20,0,3,19,0,0,0,7,2,8,17,12,0,744,5,2,0,0,7,0,0,0,0,28,5,166,800,0,4,166,12,119,7,145,4,0,4,0,0,161,0,8,312,114,49,0,0,0,4,2,16,26,0,12,14,2,94,621,418,0,4,45,0,15,6,7,4,119,0,4,122,6,155,44,58,0,0,0,0,0,0,0,0,4,0,58,8,4,3,0,0,0,237,0,45,0,0,28,0,4,28,0,7,85,3,0,2,34,5,595,9,0,14,0,0,0,9,0,70,0,14,0,3,0,16,28,0,0,0,5,0,132,22,68,24,5,0,7,31,0,0,0,0,54,3,4,28,0,0,0,20,156,11,93,2,0,19,0,0,0,0,62,0,2,0,128,9,0,0,0,40,47,2,5,269,6,0,51,3,5,21,114,18,0,0,51,8,0,59,0,0,31,21,0,0,23,0,50,188,50,65,170,1098,24,0,0,0,0,0,33,4,842,0,18,12,0,0,3,15,28,0,63,0,12,60,0,32,6,69,0,0,34,0,0,80,87,20
"O8-5",0,0,210,3,2212,831,20,4,1249,383,264,31,24,12,18,6,0,9,33,32,56,41,0,0,0,0,16,0,0,8,0,27,0,5,22,0,0,0,11,0,4,18,11,0,852,6,4,0,0,7,0,0,0,7,30,8,222,870,0,0,150,10,141,5,154,4,2,4,0,0,115,0,12,352,117,83,0,0,0,17,2,24,43,0,5,12,0,77,325,387,0,0,50,0,12,2,15,2,104,0,0,120,2,185,33,39,0,0,0,8,12,0,0,0,10,2,27,15,3,0,0,0,0,245,0,39,2,0,23,0,8,20,0,0,114,6,0,7,16,0,614,0,0,14,0,0,0,10,0,48,6,17,0,2,0,14,23,0,0,0,0,0,158,14,57,25,2,0,6,41,0,4,0,8,81,5,0,32,0,0,0,15,129,16,86,5,0,16,0,0,0,0,79,3,10,2,123,8,0,0,3,55,35,10,4,261,5,0,63,5,13,15,131,26,0,0,72,2,0,51,0,0,36,26,0,5,22,0,69,199,59,66,212,1177,34,0,0,3,0,2,26,4,867,0,15,16,0,0,0,23,40,0,90,0,23,79,0,37,8,59,0,0,23,0,0,56,104,12
"O8-6",0,0,47,0,667,279,0,0,287,76,59,20,9,0,2,0,0,4,10,5,18,9,0,0,0,0,4,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,14,0,0,0,0,8,2,61,264,0,0,53,0,52,0,97,0,0,0,0,0,234,0,9,130,40,25,0,0,0,3,0,4,7,0,0,2,0,31,142,125,0,0,14,0,0,0,0,0,31,0,0,33,3,22,5,22,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,36,0,12,0,0,3,0,0,0,0,0,21,0,0,0,9,0,167,0,0,13,0,0,0,0,0,15,0,3,0,0,0,6,9,0,0,0,0,0,41,0,0,2,0,0,0,17,0,0,0,0,6,0,0,8,0,0,0,0,46,0,28,2,0,0,0,0,0,0,31,0,2,0,15,0,0,0,0,10,19,0,0,66,0,0,9,0,0,0,37,0,0,0,17,0,0,8,0,0,7,13,0,0,8,0,16,25,12,30,30,338,17,0,0,0,0,0,10,0,218,0,0,0,0,0,0,3,9,0,28,0,0,20,0,7,5,66,0,0,0,0,0,0,25,6
"O8-7",0,0,45,0,592,400,0,0,500,116,0,15,12,0,6,0,0,6,0,14,7,9,0,0,0,0,0,3,0,0,0,3,0,4,0,0,5,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,5,7,104,394,0,0,71,0,46,0,70,0,0,0,0,0,60,0,0,148,45,23,0,0,0,0,0,7,20,0,0,5,0,53,110,146,0,0,30,0,0,0,0,0,16,0,0,60,2,34,8,22,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,59,0,17,0,0,5,0,8,0,0,0,39,0,0,0,7,0,314,5,0,0,0,0,0,0,0,27,0,9,0,0,0,16,7,0,0,13,0,0,28,0,0,12,0,0,0,15,0,0,0,0,22,0,0,15,0,0,0,14,93,0,35,0,0,11,0,0,0,0,46,0,3,0,9,0,0,0,0,10,14,0,0,117,0,0,19,0,0,0,45,4,0,0,27,0,0,4,0,0,12,25,0,0,9,0,30,71,18,35,52,474,10,0,0,0,0,0,14,0,446,0,11,0,0,0,2,6,7,0,32,0,0,33,0,17,6,25,0,0,0,0,0,5,11,12
"O8-8",0,0,31,0,508,299,5,0,506,56,47,12,11,0,9,0,0,0,15,15,22,22,0,0,0,0,7,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,4,0,309,0,0,0,0,0,0,0,0,3,0,8,99,384,0,0,48,0,61,2,50,4,0,0,0,0,34,0,9,179,52,15,0,0,0,0,0,7,13,0,0,0,0,34,78,129,0,0,11,0,5,0,0,0,0,0,0,60,4,54,10,16,0,0,0,0,0,0,0,0,0,0,6,8,5,0,0,0,0,178,0,11,0,0,29,0,6,0,0,0,25,0,0,0,0,0,208,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,8,0,0,0,0,0,21,0,0,4,4,0,0,15,0,0,0,0,43,0,0,4,0,0,0,0,61,6,50,0,0,0,0,0,0,0,21,0,2,0,1,0,0,0,0,12,11,2,0,96,0,0,23,0,0,0,26,0,0,0,21,0,0,21,0,0,12,9,0,13,4,0,21,53,12,19,61,371,11,0,0,0,0,0,19,0,417,0,13,0,0,0,0,14,4,0,33,0,13,32,0,18,3,12,0,0,0,0,0,1,0,0
"O8-9",10,0,99,6,2497,984,20,7,1465,294,352,53,32,10,30,2,0,23,47,36,19,27,0,8,0,4,15,2,0,8,0,14,0,7,12,0,0,0,2,7,12,5,7,0,1240,0,0,0,6,14,0,0,0,12,47,18,291,1034,0,0,253,21,201,6,202,7,3,6,0,13,147,0,31,469,140,93,7,0,0,15,0,26,28,0,23,19,0,124,485,392,0,0,73,0,18,7,15,5,99,0,8,114,4,125,33,96,0,0,0,4,8,0,0,0,0,0,53,15,13,0,0,0,0,193,0,72,5,0,9,0,7,25,0,0,138,0,0,4,26,0,933,0,0,33,0,0,0,11,0,70,6,14,0,0,0,19,11,0,0,0,12,0,119,14,17,43,3,0,14,43,0,0,0,5,68,0,2,61,0,0,0,37,152,16,97,3,0,4,0,0,2,0,151,0,4,0,199,7,0,0,3,54,44,10,8,460,6,7,53,15,6,16,157,54,0,0,57,12,0,37,5,0,37,31,0,13,28,0,101,399,95,154,347,2318,48,0,0,0,0,0,56,8,1397,0,27,17,0,0,3,24,50,0,47,0,44,125,2,48,9,96,0,0,37,0,0,66,123,32
"O8-10",0,0,260,10,2752,1203,24,6,1779,458,332,61,49,4,43,11,0,0,52,44,49,40,0,5,0,0,10,6,0,18,0,17,0,21,29,3,5,0,9,0,8,22,6,6,1402,11,3,0,6,14,0,0,0,10,61,25,350,1218,0,0,246,22,209,8,245,3,3,6,0,11,185,0,24,505,190,133,5,0,0,7,0,31,54,0,27,13,0,150,561,545,0,0,64,0,30,0,11,5,161,0,5,191,10,228,40,66,0,0,0,0,10,0,0,0,2,3,55,28,11,0,0,0,12,361,0,75,7,0,47,0,15,32,0,5,154,6,0,2,25,0,880,10,0,35,0,8,0,9,2,43,0,17,0,0,0,30,0,0,0,31,17,0,157,4,46,48,6,0,13,76,0,0,0,8,92,3,7,73,0,0,0,34,194,15,134,3,0,7,0,0,4,0,133,0,14,0,280,3,0,0,9,43,40,18,8,478,6,7,70,16,13,22,209,55,0,2,72,18,0,64,2,7,27,29,0,16,24,0,90,363,129,158,421,2396,59,4,0,0,0,0,73,2,1408,0,11,21,8,0,0,30,57,0,78,2,35,109,2,84,8,120,0,0,46,0,0,92,98,29
