"","unculturedarchaeon.","Koribacteraceae","Solibacteraceae.Subgroup.3..","Solibacteraceae.Subgroup.3.","unculturedbacterium.","metagenome","unculturedAcidobacteriales.bacterium.","unculturedAcidobacterium.sp..","uncultured","Blastocatellaceae","unculturedAcidobacteria.bacterium.","Holophagaceae","freshwatersediment.metagenome.","unculturedbacterium.SJA.36.","unculturedsoil.bacterium.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedsludge.bacterium.H3.","Thermoanaerobaculaceae","Iamiaceae","Ilumatobacteraceae","Microtrichaceae","Actinomycetaceae","Bifidobacteriaceae","Corynebacteriaceae","Mycobacteriaceae","Nocardiaceae","Cryptosporangiaceae","Nakamurellaceae","Kineosporiaceae","Dermatophilaceae","Intrasporangiaceae","Microbacteriaceae","Nocardioidaceae","Propionibacteriaceae","Atopobiaceae","Coriobacteriaceae","Gaiellaceae","6714.","6714","Solirubrobacteraceae","Armatimonadaceae","Fimbriimonadaceae","Bacteroidaceae","BacteroidetesBD2.2.","BacteroidetesvadinHA17.","BacteroidetesvadinHA17","Muribaculaceae","Paludibacteraceae","Prevotellaceae","Prolixibacteraceae","Rikenellaceae","SB5","Tannerellaceae","3713.","3713","Chitinophagaceae","Saprospiraceae","Cyclobacteriaceae","Hymenobacteraceae","Microscillaceae","Crocinitomicaceae","NS9marine.group.","Weeksellaceae","AKYH767","KD393.","KD393","Lentimicrobiaceae","LiUU11.161.","NS1112.marine.group.","envOPS.17.","envOPS.17","LDRB.34.","PHOSHE36.","PHOSHE36","BSV26","MSB3C8.","CandidatusKapabacteria.sp..59.99.","unculturedBacteroidetes.Chlorobi.group.bacterium.","unculturedChlorobiales.bacterium.","unculturedsludge.bacterium.A12b.","Chlorobibacterium.OLB5.","Calditrichaceae","Chlamydiaceae","Parachlamydiaceae","Simkaniaceae","cvE6","unculturedChloroflexia.bacterium.","Anaerolineaceae","Caldilineaceae","hotsprings.metagenome.","unculturedAnaerolineaceae.bacterium.","unculturedCaldilineaceae.bacterium.","unculturedCaldilineae.bacterium.","unculturedanaerobic.ammonium.oxidizing.bacterium.","unculturedbacterium.SBR1108.","unculturedbacterium.UASB_TL14.","unculturedsludge.bacterium.A31.","A4b","unculturedGemmatimonadetes.bacterium.","unculturedsludge.bacterium.H5.","wastewatermetagenome.","unculturedBellilinea.sp..","Roseiflexaceae","JG30KF.CM45.","unculturedChloroflexi.bacterium.","unculturedcandidate.division.SAM.bacterium.","Melosiravarians.","uncultureddiatom.","Cyanobiaceae","unculturedDesulfuromonadaceae.bacterium.","Deinococcaceae","Thermaceae","Babeliaceae","Vermiphilaceae","groundwatermetagenome.","unculturedprokaryote.","Arcobacteraceae","Sulfurospirillaceae","unculturedSyntrophaceae.bacterium.","Bacillaceae","Carnobacteriaceae","Lactobacillaceae","Streptococcaceae","Christensenellaceae","Clostridiaceae1.","Eubacteriaceae","Lachnospiraceae","Peptostreptococcaceae","Ruminococcaceae","Erysipelotrichaceae","Veillonellaceae","Fusobacteriaceae","Leptotrichiaceae","Gemmatimonadaceae","Hydrogenedensaceae","Latescibacteraceae","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedsoil.bacterium.PBS.III.30.","Nitrospiraceae","Omnitrophaceae","unculturedbeta.proteobacterium.","unculturedParcubacteria.group.bacterium.","unculturedcandidate.division.SR1.bacterium.","CandidatusAbawacabacteria.bacterium.RBG_16_42_10.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","unculturedbacterium.GKS2.174.","CandidatusHarrisonbacteria.bacterium.RIFCSPHIGHO2_02_FULL_40_20.","Parcubacteriagroup.bacterium.CG1_02_50_68.","Parcubacteriagroup.bacterium.GW2011_GWA1_60_11.","Saccharimonadaceae","soilbacterium.WF55.","unculturedbacterium.SBR2060.","unculturedbacterium.SBR2096.","unculturedcandidate.division.WS5.bacterium.","unculturedgamma.proteobacterium.","CandidatusBerkelbacteria.bacterium.RIFCSPHIGHO2_12_FULL_50_11.","unculturedplanctomycete.","Brocadiaceae","planctomyceteA.2.","unculturedCrater.Lake.bacterium.CL500.15.","Phycisphaeraceae","Gemmataceae","Isosphaeraceae","Acetobacteraceae","AzospirillalesIncertae.Sedis.","Caedibacteraceae","Caulobacteraceae","Hyphomonadaceae","Dongiaceae","Micropepsaceae","Paracaedibacteraceae","Reyranellaceae","A0839","Beijerinckiaceae","Devosiaceae","Hyphomicrobiaceae","Labraceae","Pleomorphomonadaceae","Rhizobiaceae","RhizobialesIncertae.Sedis.","Xanthobacteraceae","Rhodobacteraceae","Rhodopirillaceae","Rhodospirillaceae","Terasakiellaceae","AB1","Midichloriaceae","Mitochondria","Rickettsiaceae","SM2D12","Sphingomonadaceae","unculturedBradyrhizobiaceae.bacterium.","unculturedactinobacterium.","Bacteriovoracaceae","Bdellovibrionaceae","Desulfarculaceae","Desulfomicrobiaceae","Desulfovibrionaceae","unculturedproteobacterium.","Archangiaceae","BIrii41","Blfdi19","Eel36e1D6.","Haliangiaceae","KD310.","KD310","Nannocystaceae","P3OB42.","P3OB42","Phaselicystidaceae","Polyangiaceae","Sandaracinaceae","Vulgatibacteraceae","bacteriap25","mle127.","mle127","unculturedDesulfuromonadales.bacterium.","03196G20.","03196G20","Oligoflexaceae","Acidithiobacillaceae","Aeromonadaceae","Marinobacteraceae","Arenicellaceae","A21b","Aquaspirillaceae","B17BS.","Burkholderiaceae","Chitinimonadaceae","Hydrogenophilaceae","Nitrosomonadaceae","Rhodocyclaceae","SCI.84.","SCI.84","TRA320.","TRA320","Cellvibrionaceae","Porticoccaceae","Spongiibacteraceae","Chromatiaceae","Competibacteraceae","Coxiellaceae","Diplorickettsiaceae","UnknownFamily.","Immundisolibacteraceae","Legionellaceae","Methylococcaceae","Methylomonaceae","Halomonadaceae","Saccharospirillaceae","Moraxellaceae","Pseudomonadaceae","unculturedHalochromatium.sp..","Steroidobacteraceae","Thiotrichaceae","Rhodanobacteraceae","Xanthomonadaceae","Leptospiraceae","Spirochaetaceae","Mycoplasmataceae","Methylacidiphilaceae","Opitutaceae","Puniceicoccaceae","Pedosphaeraceae","Verrucomicrobiaceae","bacteriumenrichment.culture.clone.Anammox_55."
"O3-1XH",0,0,37,0,834,338,3,0,748,653,57,43,25,13,32,7,0,10,19,41,6,16,0,6,0,2,34,5,0,4,0,69,0,29,2,0,0,0,5,7,5,0,9,0,129,0,0,0,8,2,0,0,0,3,16,32,387,642,0,0,202,0,191,4,157,22,2,0,0,0,223,0,2,62,106,10,0,0,0,8,0,15,6,0,0,12,0,7,258,213,0,0,16,0,2,13,0,7,80,0,2,16,3,168,22,40,0,0,0,0,0,0,0,0,5,0,27,59,4,0,0,0,0,17,0,5,8,0,20,0,3,6,0,0,88,0,0,5,12,0,227,0,0,0,0,0,0,9,0,10,0,55,0,12,0,0,34,0,0,0,0,0,103,3,8,22,5,0,10,26,0,0,0,3,52,4,6,17,0,0,0,2,37,0,0,19,0,8,0,0,5,0,47,0,4,0,29,0,0,0,0,2,11,6,2,224,3,3,10,0,5,14,21,18,0,0,68,0,0,5,8,0,8,0,0,0,6,0,23,82,47,14,118,735,18,0,0,0,0,0,3,3,52,0,2,8,0,0,0,12,30,0,51,0,0,73,6,62,6,61,0,0,2,0,0,29,54,9
"O3-14XH",0,0,47,0,560,155,0,0,290,24,6,22,5,0,0,0,0,0,8,6,23,34,0,0,0,0,2,3,0,0,0,5,0,5,0,0,0,0,10,0,4,2,2,0,57,0,0,0,0,0,0,0,0,0,0,20,43,222,0,0,26,0,43,2,26,4,0,0,0,0,26,0,0,106,138,24,0,0,0,4,0,0,0,0,0,0,0,6,15,42,0,0,0,11,0,0,0,0,5,0,0,12,2,33,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,0,3,4,0,32,0,6,0,0,0,49,0,0,0,0,0,63,0,0,48,0,0,0,2,0,0,0,71,0,0,0,0,0,0,0,0,0,0,28,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,42,2,18,0,0,0,0,0,0,0,12,0,3,0,6,0,0,0,0,2,0,0,0,72,0,0,2,0,0,0,5,0,0,0,5,0,0,0,0,0,0,2,0,0,2,0,7,13,15,0,33,159,4,0,0,0,0,0,0,0,29,0,0,2,0,0,0,8,6,0,2,0,6,23,0,47,0,8,0,0,0,0,0,3,0,0
"O3-28XH",0,0,249,2,1721,784,5,0,1028,234,154,42,24,38,24,3,0,11,9,74,46,88,0,5,2,19,74,20,0,15,0,180,5,12,33,0,0,0,45,5,17,2,2,0,310,8,14,0,6,33,0,3,0,6,49,72,136,807,0,0,76,4,152,8,271,30,0,0,0,0,811,3,4,272,270,167,0,0,0,19,5,10,2,0,12,4,0,15,86,210,0,0,69,0,2,7,0,0,92,2,6,9,0,209,47,23,0,0,0,0,0,8,0,0,0,0,14,40,10,0,0,30,0,68,0,40,20,3,54,0,17,6,0,4,182,0,0,3,23,3,394,0,0,83,17,0,0,7,0,13,0,128,9,30,2,6,0,0,0,0,0,0,96,6,3,13,18,0,6,22,0,4,0,4,10,9,0,33,0,0,0,3,275,10,65,4,0,12,0,0,0,0,63,0,9,0,199,7,0,0,2,42,10,13,4,437,0,0,5,5,5,11,86,20,0,0,39,13,0,28,0,9,31,19,0,0,6,5,30,119,98,20,122,1480,18,2,0,0,0,0,4,3,162,0,0,5,2,0,0,16,39,0,57,0,23,104,2,93,9,93,0,0,2,0,0,13,9,11
"O4-12XH",0,0,249,2,2489,1388,5,7,1520,395,278,51,23,28,77,6,0,0,31,38,78,148,10,11,5,12,62,9,0,21,0,268,0,17,62,0,5,0,45,0,37,2,7,2,514,9,13,0,7,11,2,0,0,4,57,31,198,1249,0,4,100,7,222,3,242,25,2,3,0,2,239,0,9,548,320,134,5,0,0,5,11,12,12,0,6,12,9,32,204,344,0,0,54,6,7,0,2,5,155,0,8,15,3,221,96,41,0,2,0,0,0,0,0,0,0,0,16,23,10,0,0,30,3,128,0,55,18,0,91,0,23,36,0,0,165,0,10,5,27,2,478,2,10,29,0,0,0,2,0,2,0,106,20,13,0,10,66,0,0,0,0,0,102,13,8,24,14,0,5,59,2,0,0,3,47,7,2,38,0,0,0,4,441,8,97,7,0,21,0,0,0,0,57,0,14,0,218,8,0,0,3,37,19,29,4,322,4,2,18,14,6,9,106,35,0,7,82,8,0,25,0,0,16,17,0,6,6,0,42,151,109,13,132,1327,29,0,0,0,0,7,11,5,424,4,6,7,0,0,9,32,34,0,60,0,27,115,3,99,23,55,0,0,2,0,0,20,25,34
"O4-25XH",5,0,247,4,3028,1593,21,1,1743,692,456,54,26,21,82,19,0,19,45,17,105,103,20,10,5,18,62,10,0,15,0,222,3,9,56,0,0,0,23,8,32,6,15,0,465,5,6,0,0,8,0,0,0,0,40,11,226,1309,0,6,136,6,190,7,214,26,0,2,0,0,237,0,10,612,365,130,0,0,0,13,6,15,9,0,3,10,16,51,315,613,0,8,36,12,9,6,2,2,136,0,16,32,2,255,97,37,0,2,0,0,0,4,0,0,0,0,18,30,7,8,0,27,0,216,0,66,17,0,62,0,22,17,0,7,153,2,0,11,51,7,334,3,0,30,0,0,0,6,0,16,0,69,20,6,0,7,55,0,3,0,3,0,116,11,21,22,9,0,8,81,3,4,0,0,28,8,3,34,0,0,0,2,357,4,67,10,0,30,0,0,0,0,65,0,10,0,139,5,0,0,6,39,7,22,2,330,6,0,25,11,6,11,101,17,0,0,67,25,0,23,0,0,24,17,0,0,7,0,40,138,62,15,187,1152,45,3,0,0,0,0,12,9,465,0,0,6,0,0,0,43,38,0,50,0,19,112,0,74,23,69,0,0,8,0,0,42,45,42
"O5-17XH",0,0,261,0,2845,1766,16,5,3107,728,484,86,23,19,62,4,0,12,28,43,70,143,17,12,6,2,25,26,0,31,0,264,4,9,39,0,0,0,44,0,50,3,9,0,617,6,7,0,8,3,0,0,0,4,90,53,217,1196,0,0,234,2,206,4,165,19,2,6,0,0,101,0,13,525,352,144,0,0,0,20,10,10,17,0,26,6,0,69,229,572,0,0,76,13,12,9,4,7,194,0,11,86,8,469,89,33,0,0,0,4,0,2,0,0,0,4,20,17,16,0,0,28,0,195,0,100,8,0,125,0,45,19,0,0,246,3,0,9,50,0,429,0,15,25,0,0,0,3,0,25,4,40,7,11,2,11,84,0,0,0,0,0,142,19,19,34,12,0,21,124,2,3,0,5,68,5,5,76,0,0,0,3,409,0,77,20,0,16,0,0,0,0,76,0,18,0,225,3,0,0,4,47,18,29,3,282,0,0,28,18,7,6,53,25,0,0,87,12,0,20,0,0,23,13,0,5,5,0,48,118,108,17,254,823,39,0,0,3,0,8,10,2,394,0,4,10,0,0,10,46,17,0,49,0,12,108,3,123,35,35,0,0,2,0,0,35,66,28
"O5-31XH",0,0,58,0,833,563,0,0,436,130,51,24,0,0,8,0,0,6,0,12,11,24,0,0,0,0,6,0,0,5,0,30,0,5,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,20,0,0,0,0,11,13,70,303,0,13,32,0,48,0,109,3,0,0,0,0,426,0,3,144,74,39,0,0,0,7,4,3,0,0,0,5,0,31,96,169,0,0,20,0,0,0,0,0,32,0,0,15,5,74,28,11,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,76,0,16,0,0,8,0,0,0,0,0,11,0,0,0,11,0,111,0,0,3,0,0,0,0,0,4,0,12,0,0,0,6,18,0,0,0,0,0,30,0,0,8,0,0,0,19,0,0,0,0,8,0,0,9,0,0,0,0,104,0,21,2,0,0,0,0,0,0,21,0,0,0,36,0,0,0,0,5,3,19,0,107,0,0,6,0,0,0,11,11,0,0,12,0,0,0,0,0,4,6,0,0,3,0,20,25,22,8,31,213,8,0,0,0,0,0,7,0,138,0,0,0,0,0,0,15,3,0,13,0,0,17,0,24,5,43,0,0,0,0,0,7,9,8
"O6-14XH",0,0,25,0,258,407,0,0,359,68,0,18,5,0,9,0,0,7,0,10,9,11,0,0,0,3,6,4,0,0,0,29,0,2,0,0,0,0,0,0,7,0,0,0,98,0,0,0,0,0,0,0,0,0,2,6,30,149,0,0,36,0,27,0,20,2,0,0,0,0,28,0,0,82,32,19,0,0,0,0,0,5,7,0,0,2,0,19,51,94,0,0,13,0,0,0,0,0,9,0,0,27,2,35,6,9,0,0,0,0,0,0,0,0,4,0,4,13,0,0,0,0,0,33,0,29,0,0,7,0,10,0,0,0,20,0,0,0,7,0,90,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,16,0,0,0,0,0,9,0,0,7,0,0,0,5,0,0,0,0,11,0,0,8,0,0,0,2,57,0,8,3,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,3,0,0,0,34,0,0,5,0,0,0,6,0,0,0,9,0,0,2,0,0,2,9,0,0,0,0,2,19,12,4,7,141,10,0,0,0,0,0,4,0,75,0,0,3,0,0,9,9,4,0,7,0,0,15,0,12,4,9,0,0,0,0,0,0,3,12
"O6-27XH",0,0,23,0,449,512,5,0,608,58,39,27,6,0,24,0,0,0,14,10,32,45,0,0,0,0,6,0,0,0,0,18,0,3,0,0,0,0,0,0,11,0,2,0,176,0,0,0,0,0,0,0,0,2,0,4,58,340,0,0,34,0,39,8,23,7,0,0,0,0,41,0,6,128,66,13,0,0,0,0,0,0,2,0,0,0,0,33,73,115,0,0,10,0,6,0,0,0,5,0,0,41,0,79,9,6,0,0,0,0,0,0,0,0,0,0,9,6,4,0,0,0,0,164,0,22,2,0,31,0,9,0,0,0,23,0,0,0,1,0,143,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,19,0,0,0,0,0,20,0,0,11,4,0,0,16,0,0,0,0,33,0,0,4,0,0,0,0,72,3,24,0,0,0,0,0,0,0,15,0,2,0,30,0,0,0,0,12,7,12,0,91,0,0,16,10,0,0,14,0,0,0,8,0,0,15,0,0,8,5,0,5,8,0,4,26,16,8,28,182,10,0,0,0,0,0,9,0,144,0,6,0,0,0,10,26,0,0,9,0,3,18,0,10,9,7,0,0,0,0,0,3,0,0
"O7-11XH",0,0,110,0,1905,1428,11,5,1677,297,203,52,22,19,37,3,0,16,25,43,38,64,0,5,0,6,32,6,0,8,0,52,0,7,22,0,0,0,7,4,28,6,2,0,605,0,0,0,2,4,0,0,0,4,41,29,135,565,0,18,160,0,139,5,143,5,3,6,0,0,237,0,7,225,148,97,15,0,0,20,0,6,28,0,0,14,0,48,501,364,0,0,63,0,13,8,26,6,115,0,8,57,23,268,52,25,0,0,0,8,4,0,0,0,69,0,63,12,8,0,0,0,0,237,0,86,7,0,32,0,28,14,0,0,106,0,0,3,43,0,383,0,0,19,0,0,0,0,0,16,4,20,0,5,0,19,30,0,0,0,3,0,64,7,6,24,7,0,9,24,0,0,0,5,35,3,0,33,0,0,0,2,225,4,78,2,0,2,0,0,2,0,45,0,5,0,181,7,0,0,6,57,16,7,2,256,6,0,29,23,2,11,86,16,0,0,51,0,0,37,0,0,19,26,0,7,10,0,44,94,80,37,154,750,34,1,0,0,0,0,22,0,405,0,4,12,0,0,10,62,15,0,34,0,6,56,5,55,32,82,0,0,7,0,0,33,11,33
