"","Thermoprotei","Iainarchaeia","Micrarchaeia","Methanobacteria","Methanomicrobia","Thermococci","Thermoplasmata","Woesearchaeia","uncultured","Nitrososphaeria","Acetothermiia","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Holophagae","Subgroup11.","Subgroup11","Subgroup17.","Subgroup17","Subgroup22.","Subgroup22","Subgroup6.","Subgroup6","Thermoanaerobaculia","c5LKS83","Acidimicrobiia","Actinobacteria","Coriobacteriia","KISTJJY010.","MBA2.108.","MBA2.108","Thermoleophilia","WCHB181.","unculturedanaerobic.bacterium.","unculturedbacterium.","Aquificae","Armatimonadia","Chthonomonadetes","Fimbriimonadia","Caldatribacteriia","JS1","Omnitrophicabacterium.OLB16.","metagenome","unculturedsoil.bacterium.PRR.11.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","Anaerolineae","Chloroflexia","Dehalococcoidia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Coprothermobacteria","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deferribacteres","Deinococci","Babeliae","Elusimicrobia","Endomicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIb","LineageIIc.","LineageIIc","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","saltmarshclone.LCP.67.","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedbacterium.mle1.16.","unculturedorganism.","unculturedplanctomycete.","unculturedprokaryote.","unculturedsoil.bacterium.PBS.II.5.","unculturedsoil.bacterium.PBS.III.30.","Lentisphaeria","Oligosphaeria","Moduliflexia","P9X2b3D02","Nitrospira","Thermodesulfovibrionia","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFCSPLOWO2_12_FULL_51_24.","groundwatermetagenome.","mixedculture.isolate.koll11.","unculturedbeta.proteobacterium.","ABY1","Berkelbacteria","CPR2","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","V2072189E03","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","Burkholderialesbacterium.Beta_02.","bacteriumenrichment.culture.clone.Anammox_3.","hydrothermalvent.metagenome.","unculturedsoil.bacterium.","bacteriumenrichment.culture.clone.Anammox_55.","bacteriumenrichment.culture.clone.SRAO_37.","bioreactormetagenome.","uncultureddelta.proteobacterium."
"SRR8301641",0,0,0,6,3,0,0,0,385,0,0,33,0,61,0,3,0,0,66,0,0,0,34,77,48,0,331,205,0,0,0,0,38,0,0,0,0,0,0,331,0,0,0,11,0,7230,353,6,3,0,0,147,0,1045,15,0,12,0,10,2,0,277,7,0,0,0,0,3,0,0,0,93,2,0,4,0,0,0,0,0,56,0,0,0,36,182,12,17,0,0,120,0,80,58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,0,0,0,3,0,0,12,0,0,89,186,669,283,0,0,0,0,0,0,66,54,0,0,2,7,249,0,1141,1708,5643,0,16,0,0,3,0,0,2,0,0,113,0,0,0,0,0,0,0,0
"SRR8301122",0,0,0,0,0,0,0,5,217,0,0,52,0,662,10,2,0,0,86,12,0,0,6,35,8,0,284,53,0,0,0,0,32,0,0,34,0,0,0,43,0,0,0,9,0,6291,171,0,0,0,75,125,0,326,64,2,0,0,4,0,0,33,4,0,0,86,0,9,0,0,0,9,0,0,0,0,20,0,0,0,345,38,13,0,30,139,11,2,41,0,68,0,28,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,1409,0,8,0,3,0,0,70,0,0,48,0,202,32,0,0,0,49,0,0,262,277,0,0,4,11,188,6,1183,1396,5347,0,247,0,0,2,0,0,0,0,0,255,0,0,0,0,0,0,0,0
"SRR8301312",0,0,0,7,8,0,0,3,219,0,0,52,0,203,0,85,0,0,4,15,0,0,19,32,31,0,1097,1323,11,12,0,0,176,0,0,0,0,0,0,128,0,0,5,25,0,6837,759,0,0,0,0,53,0,3436,70,0,4,2,9,10,0,265,11,0,0,5,0,0,0,0,0,12,30,0,4,0,0,0,0,0,19,14,0,0,79,450,31,19,4,0,162,0,3,28,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0,232,0,0,0,0,0,0,49,0,0,62,50,678,335,18,0,0,0,0,0,61,105,0,0,2,3,238,0,1385,723,6359,0,13,3,0,23,0,0,13,0,0,171,0,0,0,0,0,0,0,0
"SRR8301501",0,0,0,0,0,0,0,0,228,0,0,27,0,627,0,27,0,0,72,6,0,0,53,33,43,0,268,152,4,0,0,0,120,0,0,24,0,0,0,100,0,0,0,7,0,4150,462,0,5,0,0,106,0,913,48,3,8,0,6,4,0,182,2,0,0,16,9,0,0,0,0,64,27,0,0,0,0,0,0,0,2,7,0,0,43,232,17,2,0,0,401,0,4,0,0,0,0,0,0,0,19,0,0,0,10,0,0,0,0,0,0,317,0,0,0,0,0,0,20,0,0,32,44,70,149,7,2,0,8,0,0,138,99,0,0,2,5,182,0,959,775,3805,0,16,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
"SRR8298230",0,0,0,3,0,0,0,4,203,0,0,36,0,606,2,107,0,0,29,67,0,0,12,23,38,0,416,130,7,2,0,0,239,0,0,4,0,0,0,70,0,0,0,8,0,3897,172,16,0,0,2,15,0,761,149,2,0,0,6,27,0,47,2,0,0,43,66,0,0,0,0,17,27,0,0,0,11,0,0,0,59,17,0,0,14,125,12,0,15,0,179,0,22,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,17,0,0,46,10,25,12,0,0,0,0,0,0,90,96,0,7,0,2,231,2,923,1296,4318,0,53,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0
"SRR8301618",0,0,0,0,0,0,0,0,90,0,0,99,0,14,0,6,0,0,0,0,0,0,25,11,0,0,106,209,0,0,0,0,2,0,0,0,0,11,0,9,0,0,0,7,0,7808,40,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,16,0,0,0,13,0,0,2,0,18,0,0,0,0,0,0,0,16,0,26,0,10,41,3,6,28,0,19,0,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,107,26,0,0,0,0,0,0,7,31,0,0,0,0,41,7,1611,991,8059,0,71,0,0,17,0,0,10,0,0,449,0,0,0,0,0,0,0,0
"SRR8301078",0,0,0,22,15,0,0,6,120,0,7,12,54,16,0,154,0,0,13,0,0,0,5,51,24,0,113,264,0,0,0,0,9,0,0,0,0,0,0,0,2,7,0,14,0,6549,540,0,0,0,0,0,0,917,5,0,0,0,0,0,0,25,0,250,0,27,4,37,0,0,0,0,38,0,0,0,0,0,0,0,40,0,0,0,70,384,30,39,0,0,19,0,12,25,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,153,45,683,134,2,0,0,0,0,0,0,2,0,0,3,0,91,0,691,586,4594,0,55,9,3,33,0,2,0,2,108,179,0,0,0,0,0,0,0,0
"SRR8298098",0,0,0,0,0,0,0,0,28,0,0,10,0,185,0,29,0,0,0,3,0,0,5,21,2,0,186,848,0,13,0,0,76,0,0,0,0,0,0,11,0,0,0,0,0,6732,22,0,0,0,0,21,0,208,8,0,0,0,6,3,0,40,2,0,0,0,0,0,0,0,0,68,0,0,4,0,0,0,0,0,30,11,0,0,22,1869,10,2,0,0,78,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,12,37,0,0,0,0,0,9,13,35,0,0,0,0,25,0,518,221,14836,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"SRR8298157",0,0,0,2,0,0,0,0,269,0,0,35,0,507,2,128,0,0,84,47,0,0,26,26,33,0,263,348,0,7,0,0,258,0,0,0,0,0,0,105,0,0,0,2,0,4002,122,2,0,0,0,36,0,789,100,4,0,4,8,14,0,117,3,0,0,23,3,5,0,0,0,25,14,0,0,3,4,4,0,0,39,44,18,0,76,161,16,0,12,0,72,0,10,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,31,19,17,32,0,2,0,0,0,0,87,130,0,9,0,2,318,0,1082,1222,2773,0,63,0,0,13,0,0,0,0,0,157,0,0,0,0,0,0,0,0
"SRR8301843",0,0,0,2,5,0,0,78,100,0,0,37,0,3,0,116,0,0,0,0,0,0,0,0,3,0,45,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7763,1976,0,0,0,0,0,0,330,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,720,0,7,0,36,118,10,11,16,0,29,0,3,9,0,0,0,0,0,0,0,0,0,37,31,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,86,16,296,0,0,0,0,0,0,0,3,6,0,0,5,15,8,0,388,538,6457,0,3,18,30,57,0,0,6,7,0,337,0,0,0,0,27,0,0,0
